Script,Meaning
メアリーはよく気の付く人だ。,That's the person who Mary's really interested in.
手にペンキが付いた。,My hands are stained with paint.
付いて行ってもいいですか。,May I go with you?
テレビが付きません。,The TV won't turn on.
トムは気が付いた。,Tom noticed.
トムはベーグルにクリームチーズを付けて食べました。,Tom ate a bagel with cream cheese.
テレビを付けて下さい。,Please turn on the TV.
スーツケースにこのタグを付けてね。,Attach this tag to your suitcase.
コメントを付けるとコードが読みやすくなります。,Adding comments makes reading the code easier.
テレビを付けてもいいですか。,May I turn on the TV?
彼女がその地位に就く資格を得るのに、少なくとも２年はかかるであろう。,It will take her at least two years to be qualified for that post.
いい仕事に就くのは難しくなりつつあるようだ。,It seems to be becoming hard to get a good job.
彼は彼女をほめてその職に就かせた。,He boosted her into the job.
各自の部署に就け。,Go to your posts.
彼は友達の親切な世話でその職に就いた。,He obtained the post through the good offices of a friend.
カーテンに火がついた。,The curtain caught fire.
ランプがついた。,The lamp lit up.
日が暮れると街灯がつく。,"When it gets dark, the streetlights switch on."
電気がついている。,The electric light is on.
ろうそくをつける。,Light a candle.
マッチで火をつける。,Set a fire with a match.
導火線に火をつける。,Light a fuse.
ガスストーブをつける。,Turn on a gas space heater.
電灯をつける。,Turn on an electric light.
蛍光灯をつけたり消したりする。,Turn a fluorescent light on and off.
彼はあごを片手にもたせて食卓にひじを突いて座っていた。,He sat at the table with his chin cupped in one hand.
テーブルにひじを突くのはやめなさい。,Keep your elbows off the table.
針で親指を突いてしまった。,I pricked my thumb with a needle.
我々の食料は底を突いた。,Our supply of food is exhausted.
その子供は、つまずいて転んで膝を突いた。,The kid stumbled and fell to his knees.
藪をつついてヘビを出す。,It's not good to wake a sleeping snake.
彼は私をつついて先に行けと合図した。,He nudged me to go ahead.
鳥たちが地面をつついている。,Birds are pecking at the grounds.
彼はひじで私の脇腹をつついた。,He elbowed me in the ribs.
彼女はテーブルの上のカップにコーヒーを注いだ。,She poured coffee into the cups on the table.
ケイトが演技を磨くために注ぐ力を邪魔する物は、何もありませんでした。,Nothing could hinder Kate from using all her energy to polish her performances.
彼女はブランデーをグラスに注いだ。,She poured brandy into the glasses.
彼女は時間を全部その研究に注いだ。,She gave all her time to the study.
彼女はカップにミルクを注いだ。,She poured milk into the cup.
彼女はロング氏に次ぐ最高のピアニストです。,She is our next best pianist after Mr Long.
私は次ぎのバスを待つよりむしろ歩きたい。,I'd rather walk than wait for the next bus.
会合は次ぎの日曜日に行われる。,The meeting will take place next Sunday.
当店のパイは、夜のうちに焼き上げて、次ぎ日にお出しする焼き立てです。,All our pies are baked fresh during the night for your dining pleasure the next day.
きれい好きは敬神に次ぐ美徳。,Cleanliness is next to godliness.
枝が伸び、実が成ることを想定して接ぐ場所を選びましょう。,Select the graft point after imagining how the branches will extend and fruit grow.
父親が引退すると彼は商売を継いだ。,On his father's retirement he took over the business.
私は父の仕事を継いだ。,I took over my father's job.
彼は父親の後を継いだ。,He took over the business from his father.
彼はその会社の社長として父親の後を継いだ。,He succeeded his father as president of the company.
彼はその会社を継いだ。,He acceded to the office.
彼は社長のすべての責任から解かれた。,He was dispensed from all responsibilities of the president.
誰もそのなぞを解くことができなかった。,No one could solve the puzzle.
その問題を解くのは簡単ではない。,It is not easy to solve the problem.
彼女はそのパズルを簡単に解いた。,She solved the puzzle with ease.
私はその問題を解くことができた。,I was able to solve the problem.
砂糖は水に溶ける。,Sugar dissolves in water.
氷が溶けると水になる。,"When ice melts, it becomes water."
氷は日にあたると溶ける。,Ice melts in the sun.
砂糖は湯に入れると溶ける。,Sugar melts in hot water.
氷は溶けて水になる。,Ice melts into water.
彼はコーヒーに砂糖を溶かした。,He dissolved some sugar in his coffee.
ポップコーンに溶かしバターをかけてください。,Pour melted butter over the popcorn.
バターをシチュー鍋で溶かし、刻んだ玉ねぎと合わせます。,"Melt the butter in the saucepan, and add the finely chopped onion."
砂糖をお湯で溶かしなさい。,Dissolve sugar in hot water.
太陽が雪を溶かした。,The sun melted the snow.
彼を説いてその計画をやめさせようとしたが無駄だった。,"I tried to talk him out of the project, but in vain."
彼は私達に健康の重要性を説いた。,He preached to us about the importance of good health.
彼は説いて同意させた。,I argued him into consent.
どいてもらえませんか。,Could you please move out of my way?
どいてろ。,Stay away.
どいてください。,Get out of the way.
「どいてください」「やんのか？あんちゃん」。,"""Please move aside."" ""Ya wanna make something of it, sonny?"""
ちょっとどいて。,Now step aside.
猫が柱でつめを研いでいた。,A cat was sharpening its claws against a post.
彼はナイフを研いでいました。,He was sharpening a knife.
つらいときは泣きたいだけ泣けばいいと思うよ。,"I think that, in tough times, you can cry as much as you want."
泣いてたの？。,Have you been crying?
今泣きたい気分です。,I feel like crying now.
彼は泣いていた。,He was crying.
トムは学校が終わった後、泣きながら家に帰ってきた。,Tom came home crying after school.
彼はよく食事を抜いていた。,He often skipped meals.
トムはよく食事を抜く。,Tom often skips meals.
歯を抜いてもらったんだ。,I had a tooth pulled.
彼女は歯を抜いてもらった。,She had her tooth pulled.
彼は歯を抜いてもらった。,He had his tooth pulled.
トム抜きでは出発しない。,We won't leave without Tom.
アルコール抜きの飲物がありますか。,Do you have any soft drinks?
僕らはトム抜きで出発する。,We'll leave without Tom.
私抜きでそのチーズケーキ食べるつもり？。,Are you eating the cheesecake without me?
朝食抜きで働くのは苦痛であった。,It was hard to work without breakfast.
初デートで彼と寝るのは良くない。,It's not good to sleep with him on the first date.
初キスのことは絶対に忘れない。,I'll never forget my first kiss.
それが初キスだったんだ。,It was my first kiss.
ブラジルは1958年にワールドカップ初勝利を果たした。,"In 1958, Brazil won its first World Cup victory."
７時発の電車に乗り遅れた。,I missed the 7:00 train.
次の電車は何時発ですか。,What time does the next train leave?
９時３０分発の便に乗りたいです。,I'd like to take a 9:30 flight.
電車は何時発ですか。,What time does the train leave?
パリ発１０１便は予定より１時間前に到着した。,Flight 101 from Paris arrived one hour ahead of time.
私はあなたの１０倍の本を持っている。,I have ten times as many books as you have.
4の5倍は20である。,Four times five is 20.
私はあなたの四倍ＣＤを持っている。,I have four times more CDs than you do.
８は２の４倍です。,Eight is four times two.
彼は私の倍食べた。,He ate twice as much as I did.
