Words,Reading,Meaning,Type,S1,S2,S3,W1,W2,W3
指名する,shimei,"to nominate, designate",suru,"指 - finger, point to, indicate, put into","名 - name, noted, distinguished, reputation",,,,
心配する,shinpai,"to be anxious, feel uneasy",suru,"心 - heart, mind, spirit, heart","配 - distribute, spouse, exile, rationing",,,,
進歩する,shinpo,"to make progress, advance",suru,"進 - advance, proceed, progress, promote","歩 - walk, counter for steps",,,,
侵略する,shinryaku,to invade,suru,"侵 - encroach, invade, raid, trespass, violate","略 - abbreviation, omission, outline, shorten, capture",,,,
申請する,shinsei,to make out an application,suru,"申 - have the honor to, to say, to be called","請 - solicit, invite, to ask, to beg",,,,
信用する,shinyō,"to trust, believe, place confidence in",suru,"信 - faith, truth, fidelity, trust, to believe","用 - use, errand, task, to use",,,,
失敗する,shippai,to fail,suru,"失 - lose, error, fault, disadvantage, loss","敗 - failure, defeat, reversal",,,,
支出する,shishutsu,to spend (expenditures),suru,"支 - branch, to supportsustain","出 - exit, leave, go out, come out, put out, protrude",,,,
指摘する,shiteki,to point out,suru,"指 - finger, point to, indicate, put into","摘 - pinch, pick, pluck, trim, clip, summarize",,,,
質問する,shitsumon,to ask a question,suru,"質 - substance, quality, matter, temperament","問 - question, ask, problem",,,,
使用する,shiyō,"to use, employ, to apply",suru,"使 - to use, send on a mission, order, envoy","用 - use, errand, task, to use",,,,
食事する,shokuji,to take a meal,suru,"食 - eat, food, to eat","事 - matter, thing, fact, business, reason, possibly",,,,
消費する,shōhi,"to consume, expend",suru,"消 - extinguish, blow out, turn off, neutralize, cancel","費 - expense, cost, spend, consume, waste",,,,
紹介する,shōkai,"to introduce, present",suru,"紹 - introduce, inherit, help","介 - jammed in, shellfish, mediate, concern oneself",,,,
証明する,shōmei,"to prove, testify, certify",suru,"証 - evidence, proof, certificate","明 - bright, light, the day breaks",,,,
昇進する,shōshin,to be promoted,suru,"昇 - rise up, to ascend","進 - to advance, proceed, progress, promote",,,,
招待する,shōtai,to invite,suru,"招 - beckon, invite, summon, engage","待 - wait, depend on",,,,
所有する,shoyū,"to own, possess",suru,"所 - place, extent","有 - possess, have, exist, happen, occur, approx",,,,
所属する,shozoku,to belong to,suru,"所 - place, extent","属 - belong, genus, subordinate official, affiliated",,,,
主張する,shuchō,"to insist on, assert, emphasize, claim",suru,"主 - lord, chief, master, main thing, principal","張 - lengthen, counter for stringed instr., stretch",,,,
集中する,shūchū,"to concentrate, centralize",suru,"集 - gather, meet, congregate, swarm, flock","中 - in, inside, middle, mean, center",,,,
縮小する,shukushō,"to reduce, cut, curtail",suru,"縮 - shrink, contract, shrivel, wrinkle, reduce","小 - little, small",,,,
出版する,shuppan,"to publish, issue",suru,"出 - exit, leave, go out, come out, put out, protrude","版 - printing block, printing plate, edition, impression",,,,
出発する,shuppatsu,"to leave for, depart",suru,"出 - exit, leave, go out, come out, put out, protrude","発 - departure, discharge, publish, emit",,,,
修理する,shūri,"to repair, mend, fix, to service",suru,"修 - discipline, conduct oneself well, study, master","理 - logic, arrangement, reason, justice, truth",,,,
就職する,shūshoku,to find employment,suru,"就 - concerning, settle, take position, depart, study","職 - post, employment, work",,,,
出席する,shusseki,to attend,suru,"出 - exit, leave, go out, come out, put out, protrude","席 - seat, mat, occasion, place",,,,
出張する,shutchō,to go on a business trip,suru,"出 - exit, leave, go out, come out, put out, protrude","張 - lengthen, counter for stringed instr., stretch",,,,
相談する,sōdan,"to consult, discuss",suru,"相 - inter-, mutual, together, each other","談 - discuss, talk",,,,
掃除する,sōji,to clean,suru,"掃 - sweep, brush","除 - exclude, division (x/3), remove, abolish, cancel",,,,
存在する,sonzai,to exist,suru,"存 - exist, suppose, be aware of, believe, feel","在 - exist, outskirts, suburbs, located in",,,,
操作する,sōsa,"to operate, handle, manage",suru,"操 - maneuver, manipulate, operate, steer, chastity","作 - make, production, prepare, build",,,,
組織する,soshiki,"to organize, form",suru,"組 - association, braid, plait, construct, assemble","織 - weave, fabric",,,,
卒業する,sotsugyō,to graduate from,suru,"卒 - graduate, soldier, private, die","業 - business, vocation, arts, performance",,,,
想像する,sōzō,"to imagine, guess",suru,"想 - concept, think, idea, thought","像 - statue, picture, image, figure, portrait",,,,
推薦する,suisen,to recommend,suru,"推 - conjecture, infer, guess, suppose, support, push","薦 - recommend, mat, advise, encourage, offer",,,,
スタートする,スタートする,to start,suru,,,,,,
逮捕する,taiho,"to arrest, apprehend",suru,"逮 - apprehend, chase","捕 - catch, capture",,,,
退院する,taiin,to be released from a hospital,suru,"退 - retreat, withdraw, retire, resign, repel, expel, reject","院 - Inst., institution, temple, mansion, school",,,,
対立する,tairitsu,to be opposed,suru,"対 - vis-a-vis, opposite, even, equal, versus, anti-","立 - stand up, rise, set up",,,,
探検する,tanken,to explore,suru,"探 - grope, search, look for","検 - examination, investigate",,,,
担当する,tantō,to take charge of,suru,"担 - shouldering, carry, raise, bear","当 - hit, right, appropriate, himself",,,,
達成する,tassei,"to achieve, attain, accomplish",suru,"達 - accomplished, reach, arrive, attain","成 - turn into, become, get, grow, elapse, reach",,,,
タッチする,tacchi,to touch,suru,,,,,,
提案する,teian,"to propose, suggest",suru,"提 - propose, take along","案 - plan, suggestion, draft, ponder",,,,
提出する,teishutsu,"to submit, present",suru,"提 - propose, take along","出 - exit, leave, go out, come out, put out, protrude",,,,
徹夜する,tetsuya,to work all night,suru,"徹 - penetrate, clear, pierce, strike home","夜 - night, evening ",,,,
到着する,tōchaku,to arrive,suru,"到 - arrival, proceed, reach, attain","着 - don, arrive, wear",,,,
投票する,tōhyō,"to vote, cast a ballot",suru,"投 - throw, discard, abandon, launch into, join","票 - ballot, label, ticket, sign ",,,,
統一する,tōitsu,"to unify, unite",suru,"統 - overall, relationship, ruling, governing ",一 - one,,,,
取り引きする,torihiki,to have dealings with,suru,"取 - take, fetch, take up ","引 - pull, tug, jerk, admit, install",,,,
当選する,tōsen,to be elected,suru,"当 - hit, right, appropriate, himself ","選 - elect, select, choose, prefer",,,,
投資する,tōshi,to invest,suru,"投 - throw, discard, abandon, launch into, join","資 - assets, resources, capital, funds, data",,,,
通知する,tsūchi,"to inform, give notice",suru,"通 - traffic, pass through, avenue, commute","知 -  know, wisdom ",,,,
追加する,tsuika,"to supplement, add",suru,"追 - chase, drive away, follow, pursue, meanwhile ","加 - add, addition, increase, join, include",,,,
通過する,tsūka,"to pass, go through without stopping",suru,"通 - traffic, pass through, avenue, commute","過 - overdo, exceed, go beyond, error",,,,
運営する,un’ei,"to manage, run, administer",suru,"運 - carry, luck, destiny, fate, lot, transport, progress
","営 - occupation, perform, build, conduct (business)",,,,
運転する,unten,"to drive, to manage (money)",suru,"運 - carry, luck, destiny, fate, lot, transport, progress
","転 - revolve, turn around, change ",,,,
和解する,wakai,to be reconciled with,suru,"和 - harmony, Japanese style, peace, soften","解 - unravel, notes, key, explanation",,,,
約束する,yakusoku,to promise,suru,"約 - promise, approximately, shrink ","束 - bundle, sheaf, ream, tie in bundles, govern",,,,
予防する,yobō,"to prevent, protect",suru,"予 - beforehand, previous, myself, I ","防 - ward off, defend, protect, resist ",,,,
要求する,yōkyū,"to demand, claim",suru,"要 - need, main point, essence, pivot","求 - request, want, wish for, require, demand ",,,,
養成する,yōsei,"to train, develop (a person)",suru,"養 - foster, bring up, rear, develop, nurture ","成 - turn into, become, get, grow, elapse, reach",,,,
予習する,yoshū,to study beforehand,suru,"予 - beforehand, previous, myself, I ",習 - learn,,,,
予想する,yosō,"to predict, anticipate",suru,"予 - beforehand, previous, myself, I ","想 - concept, think, idea, thought ",,,,
予約する,yoyaku,"to reserve, book",suru,"予 - beforehand, previous, myself, I ","約 - promise, approximately, to shrink",,,,
誘拐する,yūkai,to kidnap,suru,"誘 - entice, lead, tempt, invite, ask","拐 - kidnap, falsify ",,,,
輸入する,yunyū,to import,suru,"輸 - transport, send, be inferior ","入 - enter, insert",,,,
優勝する,yūshō,to win a contest or championship,suru,"優 - tenderness, excel, surpass, actor, superiority","勝 - victory, win, prevail, excel ",,,,
輸出する,yushutsu,to export,suru,"輸 - transport, send, be inferior ","出 - exit, leave, go out, come out, put out, protrude",,,,
郵送する,yūsō,to send by mail,suru,"郵 - mail, stagecoach stop ","送 - escort, send ",,,,
誘惑する,yūwaku,"to tempt, lure, entice",suru,"誘 - entice, lead, tempt, invite, ask","惑 - beguile, delusion, perplexity",,,,
絶望する,zetsubō,"to have no hope, be in despair",suru,"絶 - discontinue, sever, cut off, abstain, interrupt","望 - ambition, full moon, hope, desire, aspire to",私を絶望させないでくれ,Don't disappoint me,,
増加する,zōka,"to increase, grow, augment",suru,"増 - increase, add, augment, gain, promote ","加 - add, addition, increase, join, include",それは昨年に比して３割の増加である,It shows an increase of 30 percent over last year.,,
罵る,nonoshiru,abuse verbally,trans.,彼女はさんざん私の事をののしった,She called me many terrible things.,,,,
馴染む,najimu,adapt to,intrans.,旧弊な人は新しい事になじめない,You can’t teach an old dog new tricks.,,,,
足す,tasu,add,trans.,砂糖を少し足して下さい,"Add a bit of sugar, please.",,,,
加える,kuwaeru,add to,trans.,"それに私も加えておいて
",Count me in.,,,,
答える,kotaeru,answer,intrans.,私は質問に答えたでしょうか,Have I answered your question?,,,,
着く,tsuku,arrive,intrans.,あなたがロンドンに着くころ頃には晩秋となっているだろう,It will be late autumn when you get to London.,,,,
志す,kokorozasu,aspire to,intrans.,彼はやろうと志すものは、何でもやり遂げる,He accomplishes whatever he sets out to do.,,,,
襲う,osou,attack,trans.,台風が東京を襲った,The typhoon hit Tokyo.,,,,
"目立つ
めだつ",medatsu,"attract attention, stand out",intrans.,林に竹が目立つ,Bamboo stands out in the woods.,,,,
避ける,sakeru,"avoid, dodge",trans.,揚げ物はしばらく避けなさい,Avoid fried foods for a while.,,,,
焼く,yaku,"bake, grill",trans.,母は日曜日にはクッキーを焼く,Mother bakes cookies on Sundays. ,,,,
禁じる,kinjiru,"ban, prohibit",trans.,彼女は喫煙を禁じられた,She was prohibited from smoking.,,,,
いる,iru,be,intrans.,田中さんはいないです,Mr. Tanaka isn’t here.,,,,
耽る,fukeru,be absorbed in/obsessed by,intrans.,彼女は飲酒にふけった,She abandoned herself to drinking.,,,,
生きる,ikiru,be alive,intrans.,生きる意味を教えてくれ,Tell me the meaning of life.,,,,
聞こえる,kikoeru,"be audible, able to hear",intrans.,虫の音がきこえます,I can hear the chirping of insects.,,,,
基づく,motozuku,be based on,intrans.,彼女は事実に基づいて議論を展開する,Her argument was founded on fact.,,,,
眩む,kuramu,"be blinded, get dizzy",,彼女はその豪華な部屋に目のくらむ思いがした,She was dazzled by the gorgeous room.,,,,
生まれる,umareru,be born,,油断なく注意さえしておれば好機はおのずからうまれる,"Plenty of opportunities will present themselves, if only you are awake to them. ",,,,
折れる,oreru,"be broken, snap",,彼は顎の骨を折って、歯も何本か折れた,He got a broken jaw and lost some teeth.,,,,
焦げる,kogeru,"be burned, charred",,このコーヒーはこげた味がする,This coffee tastes burnt.,,,,
治る,naoru,"be cured, healed",,風邪が治るのに長くかかった,It took me a long time to get over my cold.,,,,
決まる,kimaru,"be decided, agreed upon",,話は決まった, Let’s leave it at that.,,,,
異なる,kotonaru,be different from,,毎日同じ教室を２つの異なった生徒達の集団で使っているのです,We use the same classroom for two different groups of students each day.,,,,
違う,chigau,"be different, wrong",,意見がそれぞれ違う,Opinions differ,,,,
酔っ払う,yopparau,be drunk,,私は少し酔っている,I am a bit drunk.,,,,
足りる,tariru,"be enough, suffient",,必要を満たすに足りる収入,An income adequate for one’s needs.,,,,
ドキドキする,dokidoki suru,be excited,,彼は次の旅行の事を考えると、ドキドキする,"Whenever he thinks of the trip he’s got coming up, he gets all excited.",,,,
見つかる,mitsukaru,be found,,明日の朝起きたらすてきなものが見つかるよ,"When you wake up tomorrow morning, you will find a wonderful thing. ",,,,
魂消る,tamagiru,be frightened,,彼女がワインをからにしたのにはたまげた, I was amazed that she had drunk all of the wine.,,,,
喜ぶ,yorokobu,"be glad, pleased",,喜んで行きます,I’ll be glad to come.,,,,
困る,komaru,be in trouble,,雨が降ると困るから傘を持ってきた,I took an umbrella because I didn't want to get caught if it rained.,,,,
遅れる,okureru,"be late, lag behind",,列車は雪のため遅れた,The train was delayed by snow.,,,,
怠ける,namakeru,be lazy,,彼は勉強を怠けている,He is lazy in his study.,,,,
無くなる,nakunaru,"be missing, vanish",,欲に目がくらんで判断力が無くなったらしい,Greed seems to have blinded his good judgement.,,,,
混じる,majiru,"be mixed,",,トムは知らない人に混じって居心地が悪かった,Tom is ill at ease among strangers.,,,,
次ぐ,tsugu,be next,,きれい好きは敬神に次ぐ美徳, Cleanliness is next to godliness.,,,,
緊張する,kinchou suru,be nervous,,緊張する必要はありまんせん,There’s no need to be nervous.,,,,
もてる,moteru,be popular,,彼はモテる,He’s popular with the ladies.,,,,
儲かる,mokaru,"be profitable, make money",,この商売は儲かりません, There isn’t much money in this business,,,,
迷う,mayou,be puzzled,,彼は森で迷った,He lost his way in the woods.,,,,
蘇る,yomigaeru,be resurrected;,,春の雨が花に生気をよみがえらせた,A spring rain revived the flower.,,,,
悲しむ,kanashimu,"be sad, grieve",,悲しんでいる彼女をそっとしておきなさい,Don’t intrude on her sorrow.,,,,
たまる,tamaru,"be saved, accumulated",,彼は借金がたまって夜逃げ同然に町を去った, He was deeply in debt. And he and his family skipped town. ,,,,
滑る,numeru,be slippery,,彼女はすべらないようにゆっくりと歩いた, She walked slowly so she wouldn’t slip. ,,,,
驚く,odoroku,"be suprised, amazed",,トムは驚いた,Tom was shocked.,,,,
見える,mieru,"be visible, able to see",,モロに見える,It’s completely visible.,,,,
恨む,uramu,bear a grudge,,セーラは恨むような女の子ではないだろうが,"Well, I don’t think Sara is the sort of girl to bear grudges.",,,,
なる,naru,become,,"春になった
",Spring is here.,,,,
霞む,kasumu,"become blurred, hazy",,山は遠くにかすんでいた,The mountain was dimly visible in the distance.,,,,
込む,komu,become crowded,,劇場はひどく込んでいた,The theater was packed to capacity.,,,,
現る,kageru,become dark,,月が雲のかげから現れた,The moon emerged from behind the cloud.,,,,
乾く,kawaku,become dry,,乾いた砂は水を吸い込む,Dry sand absorbs water,,,,
"空く
すく",suku,"become empty, uncrowded",,お腹は空いていますか？,Are you hungry?,,,,
痛む,itamu,"become hurt, damaged",,背中が痛む,My back hurts.,,,,
流行る,hayaru,become popular,,今何が流行っていますか,What is popular now?,,,,
強まる,tsuyomaru,become stronger,,年をとると共に、情熱は薄れるが、身についた習慣は強まるものだ,"Passions weaken, but habits strengthen, with age.",,,,
濡れる,nureru,become wet,,それが濡れている,That is wet.,,,,
始まる,hajimaru,begin,,映画が始まります,The movie starts.,,,,
信じる,shinjiru,believe,trans.,僕()は君()を信()じる,I believe you.,,,,
見くびる,mikubiru,"belittle, despise",trans.,その運転選手は決して相手をみくびるようなことはしない,The student insulted the teacher.,,,,
捻る,hineru,"bend, twist",trans.,体を捻ってから下までしゃがみます,"After twisting your body, squat down.",,,,
噛む,kamu,bite,trans.,あなたの犬は噛む？,Does your dog bite?,,,,
咲く,saku,bloom,,花は咲く,Flowers bloom.,,,,
吹く,fuku,"blow, wipe",,風が吹く,The wind blows.,,,,
乗る,noru,"board, ride on",,バスに乗りなさい,Take a bus.,,,,
威張る,ibaru,boast,,彼はいつもいばりちらしています,He is always throwing his weight around.,,,,
借りる,kariru,"borrow, rent",,ペン借りていい？,Can I borrow your pen?,,,,
壊れる,kowareru,break,,シャワーが壊れた,The shower is broken.,,,,
呼吸する,koukyuu suru,breathe,,酸素は私たちが呼吸すると肺の中に取り込まれる,Oxygen is taken into our lungs when we breathe.,,,,
切れる,kireru,"break, cut off, expire",,お茶が切れています,We’ve run out of tea.,,,,
立てる,tateru,build,,誰が立てたのですか,Who built it?,,,,
焼ける,yakeru,burn,,焼けるように熱い,It is broiling hot.,,,,
買う,kau,buy,,これを買います,I’ll buy this.,,,,
呼ぶ,yobu,call,,警察を呼んで！,Call the police,,,,
電話する,denwa suru,call (phone),,後で電話して!,Call me later!,,,,
出来る,dekiru,"can, be able",,ボブは料理ができる,Bob can cook.,,,,
気を付ける,ki wo tsukeru,care,,お体にお気を付けください,Please take care of yourself.,,,,
構う,kamau,"care about, mind",,どっちでも構いません,It doesn’t matter.,,,,
運ぶ\,hakobu,carry,,これを運んでください,Carry this for me.,,,,
担ぐ,katsugu,carry on one’s shoulders,,彼は肩に銃を担いだ,He carried a rifle on his shoulder.,,,,
挟む,hasamu,"catch, hold (between two things)",,ドアに指をはさみました,I caught my finger in the door.,,,,
祝う,iwau,"celebrate, congratulate",,七夕は七月に祝う,We celebrate the Star Festival in July.,,,,
変える,kaeru,change,,老人が考えを変えるのは難しい,It is hard for an old man to change his way of thinking.,,,,
変わる,kawaru,change,,流行はすぐ変わります,Fashions change quickly.,,,,
追う,ou,"chase, drive away",,あの車を追ってくれ,Follow that car.,,,,
喋る,shaberu,chatter,,僕たちの計画を誰にもしゃべるな,Don’t mention our plan to anybody.,,,,
調べる,shiraberu,"check, investigate",,私はその事件を調べた,I looked into the incident.,,,,
噛む,kamu,chew,,食物をよくかみなさい,Chew your food well.,,,,
選ぶ,erabu,"choose, select",,これを選びます,This is my choice,,,,
食い違う,kuichigau,"clash, disagree",,この点で私たちの意見が食い違うのは確かだ,It is on this point that our opinions differ.,,,,
晴れる,hareru,"clear up, tidy up",,空が晴れた,The sky has become clear.,,,,
登る,noboru,climb,,猿は木に登る,Monkeys climb trees.,,,,
閉まる,shimaru,"close, be closed",,ドアが閉まるの聞こえた,I heard the door close.,,,,
崩れる,kuzureru,"collapse, cave in",,壁が地震で崩れた,The wall gave way in the earthquake.,,,,
来る,kuru,come,,来られますか,Can you come?,,,,
外れる,hazureru,"come off, go wide",,彼の話は要点をはずれている,His talk is off the point.,,,,
解ける,hodokeru,"come untied, loose",,靴紐が解けていますよ,Your shoes are untied.,,,,
慰める,nagusameru,comfort,,私は彼女を慰めることができる,I can comfort her.,,,,
言いつける,iitsukeru,command,,彼は私にそれをするように言いつけた,He told me to do it.,,,,
通う,kayou,commute,,兵庫大学に通っています,I go to Hyogo University.,,,,
比べる,kuraberu,compare,,ロンドンは東京に比べて小さい,London is smaller than Tokyo.,,,,
文句を言う,monku wo iu,complain,,文句を言うな,Don’t complain.,,,,
凝らす,korasu,concentrate,,彼は息を凝らしてその光景を見つめていた,He was watching the scene with breathless interest.,,,,
繋ぐ,tsunagu,"connect, fasten",,彼は犬を木につないだ,He tied the dog to a tree.,,,,
連絡する,renraku suru,contact,,手紙で連絡してください,Please contact me by letter.,,,,
続ける,tsuzukeru,continue,,ぜひ練習()を続()けなさい,Do keep practicing!,,,,
続く,tsuzuku,"continue, follow",,吹雪が続いた,The snowstorm continued.,,,,
料理する,ryouri suru,cook,,今晩は私が料理します,I’ll cook for you tonight.,,,,
冷やす,hiyasu,"cool, refridgerate",,頭を冷やせよ,Calm down.,,,,
冷える,hieru,cool down,,今夜は冷えるでしょう,It will cool down tonight.,,,,
数える,kazoeru,count,,３０まで数えなさい,Count up to thirty.,,,,
渡る,wataru,cross,,通りを渡れ,Cross the street.,,,,
越す,kosu,"cross, pass, move ahead",,彼は４０歳を越している,He is past forty.,,,,
砕く,kudaku,"crush, smash",,愛は人の心を砕くこともできるのさ,But love can break your heart.,,,,
鳴く,naku,cry,,鳥は鳴く,Birds sing.,,,,
切る,kiru,cut,,それを半分にきりなさい,Cut it in half.,,,,
踊る,odoru,dance,,私も踊るのが好きです,I like dancing too.,,,,
付き合う,tsukiau,date,,君達はいつからつきあっているのですか,How long have you been dating?,,,,
腐る,kusaru,"decay, go bad, be depressed",,牛乳が腐った,The milk has gone bad.,,,,
偽る,itsuwaru,"deceive, lie",,彼は年齢を偽った,He lied about his age.,,,,
決める,kimeru,"decide, choose",,決めました,I made my decision.,,,,
定める,sadameru,"decide, establish",,それは法律が定めていることである,It is what the law ordains.,,,,
飾る,kazaru,"decorate, display",,話はかわりますが,To change the subject.,,,,
減る,heru,"decrease, reduce",,この町の人口は減った,The population of this city has decreased.,,,,
負かす,makasu,defeat,,チェスで人を負かす,Beat a person at chess.,,,,
配達する,haitatsu suru,deliver,,日曜日に配達していますか,Do you deliver on Sundays?,,,,
配達,tayoru,depend on,,に頼るな,Don’t rely on him.,,,,
言い表す,iiarawasu,describe,,その物体がどんな物か言い表す事が出来ますか,Can you describe the object?,,,,
崩す,kuzusu,"destroy, break down",,酒で彼は身を崩した,Drink brought about his downfall.,,,,
滅ぼす,horobosu,"destroy, ruin",,彼は酒で身を滅ぼした,Drinking was his ruin.,,,,
死ぬ,shinu,die,,退屈で死にそうだ,I am bored to death.,,,,
掘る,horu,dig,,彼は穴をほった,He dug a hole.,,,,
話し合う,hanashiau,Discuss,,虚心坦懐に話し合った,We talked quite frankly.,,,,
嫌がる,iyagaru,"dislike, hate",,猫はぬれるのを嫌がる,Cats dislike being wet.,,,,
忘ける,wakeru,"divide, separate",,それを３人の間で分けよ,Divide it among the three.,,,,
離婚する,rikon suru,divorce,,どちらかといえば彼とは離婚したい,"If anything, I want a divorce from him.",,,,
する,suru,do,,ログアウトするんじゃなかったよ,I shouldn’t have logged off.,,,,
やる,yaru,do,,やりますか,Will you do it?,,,,
頑張る,ganbaru,do your best,,彼は一生懸命がんばる,He tries hard.,,,,
ダウンロードする,daunro-do suru,download,,このプログラムを持っていないならば、今ダウンロードすることができます,"If you do not have this program, you can download it now.",,,,
疑う,utagau,"doubt, suspect",,疑う余地はない,There is no room for doubt.,,,,
描く,kaku,draw,,彼はよく風景を描く,He often paints landscapes.,,,,
飲む,nomu,drink,,コーヒーを飲むの？,Do you drink coffee?,,,,
する,untensuru,drive,,安全運転してね,Drive safely.,,,,
運転,kawakasu,dry,,どうして髪を乾かしているの,Why are you drying your hair?,,,,
干す,hosu,"dry, air",,蒲団を干して下さい,Air the futon.,,,,
食べる,taberu,eat,,食べたの？,Have you eaten?,,,,
躙る,nijiru,edge forward,,彼女のドレスはにじの色のほとんどがそろっている,Her dresses show most of the hues of the rainbow.,,,,
メールする,me-ru suru,email,,後でちゃんと調べてメールする,I will email you after I check it thoroughly.,,,,
抱く,daku,"embrace, hug",,彼は彼女をしっかりと抱いた,He held her tightly.,,,,
励ます,hagemasu,encourage,trans.,僕が彼を励ましに行こう,I will go to encourage him.,,,,
終わる,owaru,end,intrans.,いつ終わるの？,When’s it over?,,,,
楽しむ,tanoshimu,"enjoy, have fun",godan,楽しんでね,Have a good time.,,,,
入る,hairu,enter,intrans.,お入りください,Please come in.,,,,
優れる,sugureru,"excel, be excellent, be superior",intrans.,優れたコンピューターでもチェスではあなたを負かせない,Even a good computer cannot beat you at chess. ,,,,
運動する,undousuru,exercise,suru,毎日運動するようにする,Exercise every day.,,,,
取り換える,torikaeru,exchange,trans.,彼らは欠陥テレビを新しいのと取りかえた,They replaced the defective TV with a new one.,,,,
期待する,kitai suru,expect,,彼におおいに期待している,I expect a lot from him.,,,,
目にあう,me ni au,experience,,ひどい目にあった,I had a terrible experience.,,,,
説明する,setsumei suru,explain,,詳しく説明してください,Please explain in detail.,,,,
出す,dasu,"extract, take out",,金を出しなさい,Get out your money.,,,,
向かう,mukau,"face, turn/head toward",intrans.,彼は家に向かった,He made for home.,,,,
失敗する,shippai suru,fail,,彼は多分失敗するだろう,He will probably fail.,,,,
眠る,nemuru,fall asleep,,彼は眠っている,He’s asleep.,,,,
転ぶ,korobu,fall down,,赤ん坊はよく転ぶ,Babies often fall down.,,,,
倒れる,taoreru,"fall down, collapse",,木が倒れた,The tree fell down.,,,,
降る,furu,fall from the sky,,雪が降った,It snowed.,,,,
惚れる,horeru,fall in love,,君に惚れてる,I’m falling in love with you.,,,,
下がる,sagaru,"fall, drop, hang",,温度が下がる,The temperature falls.,,,,
落ちる,ochiru,"fall, go down",,葉が落ちた,The leaves fell.,,,,
おならをする,onara wo suru,fart,,おばあさんは必ずおならをする,The old lady is bound to fart.,,,,
怖がる,kowagaru,fear,,彼女は吠える犬を怖がる,She is afraid of barking dogs.,,,,
恐れる,osoreru,"fear, be in awe of",,恐れるな,Don’t be afraid.,,,,
めいる,meiru,feel depressed,,雨の日は気がめいるよ,Rainy days make me depressed.,,,,
沈む,shizumu,"feel depressed, sink",,船が沈んでいく,The ship is sinking.,,,,
火照る,hoteru,feel hot,,顔がほてります,My cheeks burn.,,,,
感じる,kanjiru,"feel, sense",,生を感じる,I feel alive.,,,,
弄る,ijiru,fiddle with,,その鍵をいじるな！,Don’t play with that key!,,,,
闘う,tatakau,"fight against, struggle against",intrans.,病気と闘う,Struggle with disease.,,,,
見つける,mitsukeru,find,trans.,これから見つけます,I’ll find one later.,,,,
終わる,owaru,finish,intrans.,期間が終わる,The period [term] ends,,,,
片付ける,katazukeru,"finish, tidy up, clean",trans.,テーブルを片付()けなさい,Clear off the table,,,,
釣る,tsuru,"to fish, to lure in",trans.,彼は魚を３匹釣った,He caught three fish.,,,,
浮かぶ,ukabu,"float, come to mind",godan,すばらしいアイデアが浮かんだよ,I’ve got a splendid idea.,,,,
流れる,nagareru,"flow, be called off",intrans.,涙が流れている,Tears flow down.,,,,
畳む,tatamu,"to fold, to close (a shop, business), to vacate",trans.,布団を畳みなさい,Fold up your futon.,,,,
忘れる,wasureru,forget,trans.,忘れないでください,Please do not forget.,,,,
許す,yurusu,"forgive, allow,",trans.,あなたが後悔しているのなら許してあげよう,"As you are sorry, I’ll forgive you.",,,,
並ぶ,narabu,"form a line, equal",intrans.,並んでお待ちください,"Wait in line, please.",,,,
集まる,atsumaru,"gather, assemble",intrans.,明日集まりましょう,Let’s get together tomorrow,,,,
仰ぐ,aogu,"gaze, look up, respect, fan oneself",trans.,空を仰ぎ見る,Look up to the skies.,,,,
得る,eru,get,trans.,彼は即答を得た,He won an immediate response.,,,,
怒る,okoru,get angry,trans.intrans.,まあまあ、そう怒らないでくださいな," Now, please don’t get so angry.",,,,
着換える,kikaeru,get changed,trans.intrans.,私はもう着替えました,I have already changed my clothes.,,,,
曇る,kumoru,get cloudy,intrans.,曇ってきた,It’s getting cloudy.,,,,
太る,futoru,get fat,intrans.,彼女は太っているとはいえないまでも大柄な人だ," She is large, not to say fat.",,,,
越える,koeru,"get fat, grow fertile, cross over, exceed",trans.,彼女は少なくとも４０才は越えていると思う,I think she’s over 40 years old.,,,,
入る,hairu,"get in, break into, to join , to contain, to hold, to have",intrans.,補足情報には、副詞や副詞のはたらきをするものが入ります,Supplementary information includes adverbs and things that function as adverbs. ,,,,
降りる,oriru,"get off, go down",intrans.,姫路駅で降りなさい,Get off at Himeji Station,,,,
疲れる,tsukareru,get tired,intrans.,目が疲れやすいです,My eyes get tired very easily.,,,,
起きる,okiru,get up,intrans.,早く起きろ,Get up early,,,,
慣れる,nareru,"get used to, become familiar with",intrans.,夜更かしになれている,I’m used to staying up late.,,,,
暖まる,atatamaru,get warm,intrans.,味噌汁が温まった,The miso soup has heated up.,,,,
あげる,ageru,give,trans.,あなたは時には妹さんにおこづかいをあげますか,Do you sometimes give your sister money?,,,,
くれる,kureru,give (the giver is not the speaker),trans.,「なあ、そこの姉さん」「え？」「ちょっと相談に乗ってくれないか？」,"“Say, you, the lady over there.” “Eh?” “Could you give me a bit of advice?”",,,,
返す,kaesu,"give back, return (something to someone)",trans.,必ず明日その本を返しなさい,Don’t fail to return the book tomorrow.,,,,
思い切る,omoikiru,"give up all thoughts of,  to abandon",trans.intrans.,彼女の事が思い切れない,I can’t forget her.,,,,
睨む,niramu,"glare at, keep an eye on",trans.,彼はにくらしげに彼女をにらんだ,He stared at her with hatred.,,,,
齧る,kajiru,"gnaw, nibble",trans.,犬は肉を骨からかじりとった,The dog bit meat off the bone.,,,,
