Words,Translation
物語る,tell a story
逆上る,go up against
上回る,look up
見落とす,overlook
蹴飛ばす,kick off
見下ろす,look down on
途絶える,stop
見付かる,be found
仕上がる,finish
打付ける,strike
仕掛ける,set a trap
付き合う,go with
釣り合う,match
間に合う,meet in time
引っ掻く,claw
追い付く,catch up with
受け継ぐ,inherit
取り次ぐ,take over
差し引く,withhold
取り巻く,surround
言い出す,announce
売り出す,sell
風邪で熱が３９度まであがった,I have a cold and my fever has risen to 39 degrees.
かばんを棚に上げます,I'll put my bag on the shelf.
窓を開けてもいいですか,Can I open the window?
寝坊したので朝ご飯を食べるのを諦めました,"I overslept, so I gave up eating breakfast."
毎日同じ仕事をするのに飽きました,I'm tired of doing the same job every day.
このぼたんを押すとドアがあきます,Press this button to open the door.
去年その二つのチイムは優勝を争った,"Last year, those two Chi-im vied for the championship."
食事の前に手を洗いました,I washed my hands before eating.
森から熊が現れた,A bear appeared from the forest.
突然物陰から男姿を現れした,Suddenly a man appeared from the shadows.
郵便局は駅のそばにあります,The post office is near the station.
銀座の街を歩きました,I walked through the streets of Ginza
週末友達と六本木で遊んだ,I went to Roppongi for the weekend with friends
ボールが窓に当たってガラスが割れた,A ball hit a window and broke the glass.
ダーツを的との中心位当てるのは難しい,It's hard to hit a dart in the center of a target.
切手がたくさん集まった,I collected a lot of stamps.
私は切手を集めています,I'm a stamp collector.
仕事の後で友達と会って食事に行きます,I meet a friend for dinner after work.
遅れたことを彼に謝った方がいい,You'd better apologize to him for being late.
あなたの荷物を預かっています,I'm taking care of your luggage.
荷物を受付に預けました,I left my luggage at the reception desk.
肩がドアにぶつかりました,Your shoulder hit the door.
足を机の角にぶつけてしまった,My foot hit the corner of the desk.
あの人は日本人ですか。いいえ、違います,"Is that man Japanese? No, he's not."
椅子を机に近付けるください,Please move your chair closer to the desk.
電車は駅に近づいた,The train is approaching the station.
子供は熊のぬいぐるみを抱いている,The child is holding a stuffed bear.
その男はたくさんの人をだいました,The man has saved a lot of people.
給料が上がりました,His salary went up.
友達の誕生日にプレンゼントをあげました,I gave a friend a birthday present.
ドアに鍵がかかっていて、開けられません,I can't open the door because it's locked.
この企画は見込みがない。あきらめよう,This project has no chance. Let's give up.
息子はそのおもちゃにもう飽きたようだ,My son has had enough of that toy.
鍵が壊れていて窓が開かない,The lock is broken and the window won't open.
鈴木さんは佐藤さんと昇進を争っている,Mr. Suzuki is competing with Mr. Sato for a promotion.
このセーターは洗えます,This sweater is washable.
一時間待っても彼は現れなかった,"I waited for an hour, but he didn't show up."
彼女は感情を態度に現しません,She doesn't let her emotions show in her attitude.
時間とお金があれば京都へ行きたいです,"If I had the time and money, I'd go to Kyoto."
三十分歩いてやっと駅に着いた,"After walking for thirty minutes, I finally arrived at the station."
弟とゲムをして遊ぶつもりです,I'm going to play some games with my brother.
天気予報が当たって午後から雪が降った,The weather forecast turned out to be right and it started to snow in the afternoon.
クイズの答えを当てましょた,Let's guess the answer to the quiz!
明日は何時に集まればいいですか,What time do you want us to meet tomorrow?
生徒達は全員校庭に集められた,All the students were gathered in the schoolyard.
明日三時に駅で会いましょう,I'll meet you at the station tomorrow at three o'clock.
正直に謝ったら彼女は許して下さい,"If you apologize honestly, she'll forgive you."
このかばんを預かってもらえますか,Can you keep this bag for me?
荷物を預けるところはどこですか,Where can I leave my luggage?
彼女は車をガードレールぶつけました,She hit the guardrail with her car.
交差点で車とバイクがぶつかった,A car and a motorcycle collided at an intersection.
この部屋とあの部屋は大きさが違います,This room and that room are different in size.
鈴木さんは仕事中人を近付けない,Mr. Suzuki doesn't let people near his work.
危ないからその機会に近づいてはいけない,It's too dangerous to approach him on that occasion.
彼は息子を両腕にしっかり抱いた,He held his son tightly in both arms.
彼らは観光客を騙して高いものを買わせた,They tricked the tourists into buying expensive things.
スピーチおする時、いつもあがります,I always go up when I give a speech.
質問があったら、手をあげてください,Raise your hand if you have any questions.
旅行に行くので、しばらく家を空けます,I'm going on a trip and won't be home for a while.
あきらめてはいけません,Don't give up.
勉強に飽きたら散歩します,"When I get tired of studying, I'll go for a walk."
銀行は9時に開くそうです,The bank opens at nine o'clock.
その土地が誰のものか法廷で争われた,There was a legal dispute over who owned the land.
彼女は子供たちにお皿を表せます,She lets her children do the dishes.
彼はいら立ちが声に表れていた,His frustration was evident in his voice.
あの看板は何を現しているのでしょうか,I wonder what that sign represents.
田中さんから電話がありました,I got a call from Mr. Tanaka.
ちょっと歩こうか,Let's go for a walk.
遊んでばかりいないで、勉強しなさい,"Don't play around all the time, you should study."
宝くじで百万円が当たった,I won one million yen in the lottery.
この箱の中は何か当ててみて下さい,Guess what's in this box?
十時に集まって下さい,Meet me at ten o'clock.
論文を書くために資料を集めておきます,I'll collect materials for my paper.
どこかでお会いしませんでしたか,Have we met somewhere?
彼女はとても怒って彼に謝らせた,She was very angry and made him apologize.
コートはどこで預かってくれますか,Where can I keep my coat?
あそこに預けられますよ,You can leave it there.
転んで頭を床にぶつけそうになった,I fell down and almost hit my head on the floor.
この道は少し先で川とぶつかります,This road meets the river a little further on.
私は彼女と意見が違う,I disagree with her.
彼は顔を窓に近づけて外を見た,He put his face close to the window and looked out.
クリスマスが近づくと街はにぎやかになる,"As Christmas approaches, the city is bustling with activity."
友達の赤ちゃんを抱かせてもらった,He let me hold his friend's baby.
彼はうそが上手ですっかり騙されてしまった,He was so good at lying that he had me completely fooled.
雨が上がったら、出かけましょうか,"When the rain stops, shall we go out?"
日本語を教えてあげましょうか,Shall I teach you Japanese?
今度の日曜日おけておいてください,Please keep it for me this Sunday.
ゴールはもう少しだ。あきらめるな,The goal is almost there. Don't give up.
すぐに飽きるのはあなたの悪いくせだ,It's a bad habit of yours to get bored easily.
その席は空いていますか,Is that seat taken?
争うのは好きじゃない,I don't like to fight.
何度洗ってもこのしみは落ちない,"No matter how many times I wash it, this stain won't come off."
彼女は気持ちがすぐ顔に表れる,She's so quick to show her feelings on her face.
その景色の美しさは言葉で合わせない,It's hard to match the beauty of the scenery with words.
3時から会議あるので失礼します,"I have a meeting at 3:00, so if you'll excuse me."
駅から家まで歩いて五分ぐらいです,It's about a five-minute walk from the station to my house.
危険。この川で遊ぶな,It's dangerous. Don't play in this river.
その映画はとても当たった,That movie was very true.
額に手を当ててみたら、熱かった,"I put my hand on my forehead, and it was hot."
またいつか集まりましょうか,Let's get together again sometime.
集めたゴミを燃やしましょう,Let's burn the garbage we collected.
この靴はサイズがあいません,These shoes are not the right size.
判断を誤ったかもしれない,I may have misjudged you.
こちらでお預かりいたしまします,I'll leave them here for you.
彼は子供を保育園に預けて働いている,He works with his child at a day care center.
山田さんはよく上司とぶつかっている,Mr. Yamada often bumps into his boss.
誰かにぶつけられた,Someone bumped into him.
電話番号が違いますよ,You've got the wrong phone number.
子供をストーブに近づけないでください,Please keep your children away from the stove
天気予報によると台風が近づいているそうだ,"According to the weather forecast, a typhoon is approaching."
その男のこは母親に抱かれて眠ってしまった,The boy fell asleep in his mother's arms.
そんな下手な言い訳では親は騙さないでしょう,Parents won't be fooled by such a lame excuse.
遠慮しないで、どうぞおあがりください,"Don't be shy, please come in."
論文を書き上げたら連絡します,I'll call you when I finish my paper.
明けましておめでとございます,Happy New Year.
何を言われても、私はあきらめなかった,"No matter what they said, I didn't give up."
そんな説教は聞き飽きた,I'm tired of hearing that sermon.
土曜日は忙しいけど日曜日に空いています,"I'm busy on Saturday, but I'm free on Sunday."
今は一刻を争う時です,Now is the time to make the most of every moment.
自然の中にいると心が洗われるようだ,Being in nature is soothing.
雪が溶けて地面が現れ出しました,The snow is melting and the ground is beginning to emerge.
彼はなくなる一年前に自伝を著しました,He wrote his autobiography a year before he died.
昨夜遅くに地震がありました,There was an earthquake late last night.
足が痛くて歩けません,My feet hurt so much I can't walk.
うぞ近いうちに遊びに来て下さい,Please come visit us soon.
私の部屋は日が当たらない,There is no sun in my room.
これはあなたにあてた手紙です,This is a letter to you.
コンサートに三千人ぐらいの人が集まった,There were about three thousand people at the concert.
彼女の服は周りの人の注目を集めた,Her clothes attracted the attention of the people around her.
答えがあっているかどうか確かめて下さい,Please check if the answer is correct.
誤って大切な書類を捨ててしまった,I accidentally threw away an important document.
友達が子供を預かってくれた,A friend took care of my child.
鈴木さん銀行百万円を預けている,Mr. Suzuki has a million yen in the bank.
去年はクリスマスと日曜日がぶつかった,"Last year, Christmas and Sunday collided."
イライラを人にぶつけるのはやめてください,Please don't take your frustration out on others.
習慣は国によって違うものです,Customs vary from country to country.
悪い友人を近づけないようにしなさい,Keep bad friends away from me.
風邪をひているから近づかない方がいい,"He has a cold, so you should stay away from him."
彼は大きな夢を抱いて故郷でた,He was in his hometown with big dreams.
彼女を騙すつもりはなかった,He didn't mean to deceive her.
上手く利用する,Take advantage.
安く買える    ,You can buy cheap.    
深く吸って    ,Take a deep breath.    
早く帰った    ,You're home early.    
すごく優しい  ,So sweet.  
短く切りました,I cut it short.
詳しく説明した,I explained in detail.
綺麗に洗って,I washed him clean.
特別に準備しておく,I'll have something special for you.
大切に育てる,Take good care of it.
裸で寝る,Sleep naked.
ちゃんと聞いて,Now listen to me.
よぶよぶになる,I'm getting a little saggy.
すっかり疲れた,I'm so tired.
ゆっくり(と)歩け,Walk slowly.
ピカピカ(と)光った,"Shiny, shiny, shiny"
ふらふら(と)歩く,I'm walking unsteadily
初めて遊んだ,I played for the first time.
極めて明快だ,Very clear.
優れて大変だ,Excellent and hard.
きれいに掃除した,Cleaned up nicely
すっかり忘れた,Forget all about it.
ゆっくり眠れない,I can't sleep well.
まっすぐ行きなさい,Go straight ahead.
ちょうどはじめた,Just started.
はっきり答える,Answered clearly
まったく困らない,No trouble at all.
ちゃんと読める,Can read properly.
きちんと動かない,It's not moving properly.
無事に持ってきた,I brought it safely.
早速読んだ,I read it quickly.
もっと見たい,I want to see more.
もっとも忙しい,I'm the busiest.
いちばんおいしい,Most delicious.
だいぶ暖かい,Much warmer
非常に危ない,Very dangerous
ほとんど終わった,Almost done
いっさいしない,Not at all
実に頭がいい,Very smart.
かなり寒い,Pretty cold
結構面白い,Pretty funny
極めて深刻だ,Very serious.
すっかり曇った,Totally cloudy.
大変興奮した,Very excited.
とても暑い,Very hot
すごく変,Very strange.
たくさん食べちゃった,I've eaten a lot.
大いに異なっている,Very different
わずかにカーブした,Slightly curved.
ずいぶんおしゃれだね,You look very stylish.
少し疲れた,A little tired.
あまり見えない,I can't see much.
ぜんぜんできない,I can't do it at all.
なかなかやるなあ,Not bad!
まあまあ見られた,I can see pretty well.
あらかじめ準備して,Prepared in advance
初めに来た,I was here first.
今行くよ,I'm coming.
も倒れる,I'm coming.
この間投稿した,I posted this the other day.
このところ飲みすぎる,I've been drinking too much lately.
まだ起きてる,I'm still awake.
まもなく始まる,It's about to start.
まれにしか怒らない,I only get angry on rare occasions.
また来てね,I'll see you soon.
もう晴れたよ,It's sunny now.
昔建てられた,It was built a long time ago.
最後にきた,I was here last.
最近寝てるときに,"Recently, when I was sleeping."
最初に着いた,I got here first.
先に行ってください,You should go ahead.
先ほど帰宅した,I just got home.
さっき出かけた,I just left.
すぐにやりなさい,Do it now.
少し乗ろう,Let's have a little ride.
たびたび訪れた,I've been here a lot.
しばしば変わる,Often.
しょっちゅう起こる,It happens a lot.
すでに出かけた,Already gone
次に買う,Buy next
よく徹夜する,I often stay up all night
やがて廃れる,Eventually goes out of style
ずっと忙しい,Always busy
そう,Yeah.
どう,How
もう,Already
こう,Well
良く,well
未だ,Not yet.
少し,Not much
余り,Not much
直ぐ,Just
唯,Only
矢張り,as I thought
何故,why
先ず,first of all
例えば,For example
詰まり,I mean
全く,at all
一寸,just a little
若し,or
特に,especially
勿論,of course
既に,Already
一番,the most
初めて,for the first time
可成,already
色々,Various
最も,most
迚も,by far
もっと,more
必ず,always
沢山,Much
当然,of course
猶,even more
幾ら,how much
はっきり,clearly
ずっと,much
直接,directly
暫く,for a while
まあ,Well
中々,Not really
決して,Never
軈て,eventually
如何に,How
寧ろ,rather
丸で,in its entirety
一杯,full
恐らく,Probably
結構,quite
嘗て,once
再び,again
略,abbreviation
多分,Perhaps
僅か,little
正に,exactly
兎に角,Anyway
確り,Definitely
極めて,extremely
急度,suddenly
ゆっくり,slowly
元々,originally
突然,sudden
ちゃんと,properly
宜しく,Properly
丁度,just
漸く,finally
きちんと,exactly
遂に,finally
仮令,even though
漸と,finally
是非,by all means
全然,totally
随分,very much
飽くまで,until
すっかり,completely
どんどん,more and more
改めて,again
じっと,patiently
極く,very carefully
単に,simply
行成,somewhat
やや,and
言わば,so to speak
つい,just
益々,more and more
取り敢えず,one after another
次々,one after another
可能,possible
好き,I like it.
確か,sure
重要,important
十分,Enough
様々,Various
嫌,dislike
大変,Very
簡単,Easy
明らか,Obvious
非常,Very
大切,Important
同様,Similar
完全,Perfect
大丈夫,Fine
奇麗,Beautiful
特別,special
大事,Important
有名,Famous
新た,New
相当,considerable
静か,Quiet
如何,how
豊か,rich
明確,clear
有効,effective
遥か,far
単純,simple
確実,Reliable
残念,Unfortunate
巨大,Huge
意外,Unexpected
立派,Splendid
特殊,Special
見事,Stunning
多様,Diverse
高度,Advanced
当たり前,common
容易,Easy
懸命,Hard
適切,Appropriate
上手,Good
同一,Identical
独自,unique
大好き,Love
真面目,Serious
必死,Desperate
素直,Honest
丁寧,Polite
幼稚,Childish
主要,Major
盛ん,active
余計,superfluous
直,direct
重大,important
急速,rapid
曖昧,ambiguous
正式,formal
奇妙,Strange
知的,intellectual
微か,faint
真っ直ぐ,Straightforward
深刻,Serious
貴重,precious
微妙,subtle
有力,powerful
可哀想,Pity
純粋,Pure
新規,New
穏やか,Mild
公的,Public
熱心,Enthusiastic
素敵,Nice
強力,Powerful
始まる,Beginning
プールに入る,Get in the Pool
乗る,Get in
会う,Meet
雨が降る,Raining
絵を描く,Draw a picture
帰る,Going Home
歌う,Sing
泳ぐ,Swim
体を動こ,Move your body
着ていく,Get dressed
試験を受ける,take an exam
出かける,go out
集める,Gathering
山を降りる,Going down the mountain
別れる,Break up
会社を辞める,Quitting a company
髪型を変える,Change hairstyle
料理をする,Do the dishes
連れてくる,Bringing you here
荷物を持つ,Carry luggage
手伝う,Help out
貸す,Lend
席を変わる,change seats
払う,pay
取る,Take
お金をおろす,Withdraw money
遊ぶ,Play
働く,Work
犬を飼う,Get a dog
迎えにいく,Pick up the dog
電気をつける,Turn on the light
閉める,Close
開ける,Open
片付ける,put away
コショウをかける,Put pepper on it
わさびをつける,Add Wasabi
予約する,Make a reservation
注文する,Order
買ってくる,go buy something
遊びに行く,Go out to play
遊びに来てください,Come visit me
今迎えに行く,I'll pick you up now
飲みに行く,I'm going out for a drink
迎えに来ました,I'm coming to get you
会いに行く,I'm coming to see you
会いに着てください,Please come to see me
注文する,Order
登る,Climb
急ぐ,hurry
がっこうをサボる,skip school
習う,learn something
泊まる,stay overnight
道に迷う,Get lost
謝る,Apologize
熱を測る,Checking your temperature
横になる,Lie Down
薬を飲む,Take Medicine
見つかる,Being Found
飲みに行く,Go out for a drink
年を取る,Grow old
風邪をひく,Catch a cold
ストレスが溜まる,Get stressed out
準備ができる,Get ready to
寝る,Go to bed
仕事を辞める,Quit your job
町をぶらぶらする,Wander around town
友達が来る,Have friends over
運転する,Drive
起きる,Getting up
走る,Run
使う,Use
下ろす、降ろす,"Lowering, unloading"
落とす,drop
落ちる,drop
店が開く,Open the store
鍵をなくす,lose the key
渡す,give away
咲く,bloom
えあこんがつく,a wedding will be held
席が空く,a seat becomes available
入る,enter
並べる,line up
並ぶ,line up
間違える,make a mistake
寝坊する,oversleep
申し込む,apply for a job
タクシーに乗る,Take a cab
許可をもらう,Ask for permission
持っていく,Take it with you
払う,Pay
出す,Take Out
調べる,Check
取り替える,Replace
集める,collect
集まる,gather
続ける,continue
優しくする,Be kind
留学する,Study abroad
降らない,No rain
食べない,No eating
練習しない,Don't practice
言う,Say
急ぐ,Hurry
送る,Send
待つ,Wait
飲む,Drink
座る,sit
書く,Write
貸す,Lend
会う,Meet
歯を磨く,Brush your teeth
たばこを吸う,smoke a cigarette
迎えに行く,pick up someone
教える,teach
取り替える,replace
会議に出る,go to a meeting
見せる,Show
来る,come
連れてくる,bring
持ってくる,bring
連絡する,Contact
卒業する,Graduate
ご飯を作る,Make dinner
聞く,Asking
持つ,Carry
頼む,Ask
洗う,Wash
働く,Work
住む,Live
知る,Know
通う,Go to
お風呂に入る,Take a bath
宿題をやる,Do homework
資料を直す,Revise materials
レポートを出す,give a report
待つ,Wait
買う,Buy
話す,Speak
読む,read
アイロンをかける,ironing
勤める,work
決める,decide
方付ける,arrange
食べる,eat
寝る,sleep
結婚する,get married
更新する,Update
掃除する,Clean
電話する,Make a phone call
座る,Sit down
置く,leave
迎えに行く,pick you up
払う,pay
話す,talk
騒ぐ,make a fuss
悪口を言う,swear
足を組む,Cross your legs
急ぐ,Hurry
脱ぐ,Take off
会員になる,Become a member
遅れる,Be late
決める,Decide
捨てる,discard
覚える,remember
忘れる,Forget
持ってくる,bring something
気にする,worry about
無理する,Take it easy
案内する,Guide
電話をかける,Make a phone call
申し込む,Sign up
料理を作る,Make a dish
使用する,Use
予想する,Forecasting
ゴミを出す,Take out the trash
零す,Spill
しまう,put away
転ぶ,fall over
残る,remain
残す,leave behind
余る,leave over
壊れる,break
知らせる,let you know
鍵がかかる,lock up
データが消える,data will be lost
喧嘩する,quarrel
保存する,save
行く,go
引っ越す,move
休みを取る,Take a vacation
歩く,walk
拭く,wipe
吹く,blow
聞く,Listen
試験を受ける,Take a test
テストに合格する,Pass a test
掃除機をかける,Vacuuming
見る,Watch
セミナーに出る,attend a seminar
連れていく,Take you
連れてくる,Bringing someone along
残業する,Work overtime
変更する,Change
皆さんこんにちは,Hello everyone!
年越しに泉の実家の鹿児島に来ました,I came to Izumi's parents' house in Kagoshima over the past year.
"実家に帰る途中の寄り道で霧島の""石原荘""という","On the way back to my parents' house, we took a detour to a place called Ishiwaraso in Kirishima."
温泉がいっぱいあるところだね 貸切の露天風呂があるので行ってみましょう,"It's a place with lots of hot springs. There's an open-air bath for rent, so let's go there."
おっと 危ない,"Oops, watch out!"
足湯がスゴい 大自然やなぁ,The footbath is amazing! It's nature!
T：こんな自然の中で初めてかも,T: This is the first time I've been in nature like this!
T：あそこの家も気になるね レストランかな？,T: I'm also curious about that house over there. Is it a restaurant?
T：ホテル？,T: A hotel?
T：こんな綺麗な温泉初めてかも I：霧島は温泉の街ですから,T: I've never been to such a beautiful hot spring. I: Kirishima is a hot spring town.
T＆I：いいね！,T & I: Sounds great!
T：こんな家が欲しい！,T: I want a house like this!
I：下が女性専用風呂 右が男性専用風呂,"I: The bottom is the women's bath, and the right is the men's bath."
"I：真ん中が貸切の""睦実の湯"" それぞれの男女専用のお風呂入って その後 貸切のお湯に入ろうと思います","I: The middle one is the private ""Mutsumi no Yu"" I'll take a bath in each of the men's and women's baths, and then take a bath in the private bath."
I：しばし さよなら T：さよなら,I: Goodbye for a while T: Goodbye
男性専用お風呂へ,To the men-only bath
I：男性専用の露天風呂に行こうと思います,I: I think I'll go to the men's only outdoor bath.
I：結構受付から離れの方にあって,I: It's pretty far away from the reception desk
"I：""椋の木野天風呂"" ""ご自由にお入りください""","I: ""Muku-no-ki open-air bath"" ""Feel free to enter"""
I：行ってみましょう,I: Let's go there
I：えっ？ こんな開放的な風呂？ うっそ,"I: What? Such an open-air bath? Oh, no!"
I：えっ ちょっと恥ずかしい,I'm a little embarrassed
I：入ろうと思います,I: I think I'll go in
I：気持ちいいーー！,I: It feels so good!
I：もう5分ぐらいしか経ってないんですけど 肌がキュッキュなってます,"I: It's only been about five minutes, but my skin is getting squeaky clean."
I：42度ぐらいかな そのぐらいのちょい熱めぐらいのお湯,"I: It's about 42 degrees Celsius, or a little hot like that."
I：涼しい トリの方はどうなんでしょうかね...,I: It's cool... I wonder how it's going to be for Tori...
女性専用お風呂へ,To the women's bath
T：ここは女性の露天風呂ですね,T: This is the women's outdoor bath.
T：川が近くていいねー 綺麗ですねー,T: It's nice to be near the river... It's beautiful!
I：どうだった？ T：よかった...,I: How was it? T: It was good...
I：めっちゃ体あったかいね T：誰にも会ってない,T: I haven't seen anyone.
I：俺も　貸し切りだった,I: I didn't see anyone either
T：結構オープンだったでしょう？ I：丸見えだった でもそこまで恥ずかしくなったけど,"T: It was pretty open, wasn't it? I: You could see everything, but I wasn't that embarrassed."
I：さっきね ビデオで何か良い景色撮ろうと思っていたら,"I: Earlier, I was trying to get a good shot of something on video"
I：猿がいて T：猿?!,I: There was a monkey.
I：木の上に 「猿だ！」と思ってカメラの焦点を合わせたら,"I: On a tree. ""Monkey!"" I thought, so I focused the camera"
I：マジか?!,I: Really?
I：猿かと思ったらゴミでした,"I: I thought it was a monkey, but it was garbage"
I：めちゃめちゃ汚いゴミだった,I: It was really dirty trash!
2人で貸切風呂へ,The two of us went to the private bath
I：貸切風呂に行こうと思います 空気が透き通ってていいよね,"I: I'm going to go to the private bath. The air is so clear, isn't it?"
"I：こちらです""睦実の湯""","I: This is the ""Mutsumi no Yu."""
T：あの丸いの あれじゃない？ I：おぉ　さっそく行きましょう,"T: Isn't that the round one? I: Oh, let's get going!"
I：温泉をYoutubeに上げるとはね...,I: I can't believe you put a hot spring on Youtube...
I：どう？ T：気持ちいい,I: How is it? T: Feels good!
T：スゴい広いね この露天風呂,T: This outdoor bath is huge!
T：家族６人で入れるよ,T: A family of six can fit in there!
I：今まで来た温泉の中で一番好きかも,I: This is probably my favorite hot spring I've ever been to!
T：こんな自然の中で I：すごい動きがめっちゃ硬いね トリ,"T: In the middle of nature like this I: Your movements are so stiff, Tori!"
T：そういう動画じゃないので 有料コンテンツだね　それは,T: It's not that kind of video. It's paid content.
I：ウチそういうのやってないので,I: We don't do that kind of thing.
I：スゴい！腕がスベスベ！,I: Amazing! Your arms are so smooth!
T：30分もここにいる？ I：溶けてなくなりそうだね,T: You've been here for half an hour? I: I think I'll melt away!
I：トリさん この温泉 何点ですか？,"I: Tori, what is your score for this hot spring?"
T：１００！人生で初めてのこんなの！,T: One hundred! I've never seen anything like it in my life!
T：泉は危険なポーズをしております,T: Izumi is in a dangerous pose!
I：ここで視聴率が落ちるね...,I: This is where the ratings go down...
I：気持ちよかったね,I: That felt so good!
I：入浴料額が1人1200円+貸切温泉1000円 だったから3500円くらい,"I: The bathing fee was 1,200 yen per person plus 1,000 yen for the private hot spring, so about 3,500 yen."
I：この値段で この絶景はいいね T：一回泊まってみたいね I：また来ましょう,T: I'd like to stay here once I: Let's come again!
T：是非オススメです 日帰りでも全然カップルでも行けるしね 最高にいい,"T: I highly recommend it, even couples can go for a day trip."
I：では いいお湯でした T＆I：さよなら！,"I: Well, it was a nice bath T & I: Goodbye!"
I：お腹すいた,I: I'm hungry
T：あと少し寒くていいよね,T: It's nice to have a little more cold weather
I：雪降ってても入れるぐらいだ,"I: Even if it's snowing, you can still get in!"
I：ばあああああああん,I: Baaahhhh!
IZ: 今日はcoconという古民家を改装した別荘を借りました,IZ: Today we rented a villa in a renovated old house called cocon!
TR: 綺麗そうだったから楽しみ,"TR: It looks beautiful, so I'm looking forward to it!"
TR: すごい筋トレ(笑),TR: great muscle training (lol)
IZ: うお！すごいよ！ TR: すごい？,IZ: Whoa! That's awesome! TR: Amazing?
TR: このアプローチがもうすごいですよ,TR: This approach is already amazing!
TR: すごい綺麗にやってるね,TR: It's so beautifully done!
TR: このリノベはすごいね IZ: ガチな古民家だ,TR: This renovation is amazing! IZ: It's a real old house!
TR: めっちゃきれいにやってる...,TR: It's done so beautifully...
IZ: 縁側もしっかりしてるね,IZ: The porch is well done too!
IZ: あ! 蜘蛛,IZ: Ah! A spider!
IZ: ムーディー!,IZ: Moody!
IZ: キレイだね！,IZ: It's beautiful!
IZ: 間取りはどんな感じなんだろう？ TR: 部屋2つと...台所と...,IZ: What's the floor plan like? TR: Two rooms and... Kitchen and...
TR: お風呂がありますね,TR: There's a bath.
IZ: なるほど,IZ: I see.
TR: ストーブがあるー！,TR: There's a stove!
IZ: ここは台所かな,IZ: This must be the kitchen.
TR: 土間になっているね IZ: 本当だ,TR: It's got a dirt floor.
IZ: よく知ってるね...,IZ: You know it well...
IZ: 照明も和紙だ TR: 可愛い,IZ: The lights are Japanese paper too. TR: Cute!
TR: 炊飯器とか色々あるから料理できるね IZ: なんでも料理できるね,TR: There's a rice cooker and everything so you can cook.
IZ: トースターもあるしね,There's also a toaster.
IZ: 洋食派も大丈夫！(笑),IZ: Western food is okay too! (laughs)
IZ: ちょっとお風呂とか見てみよう,Let's have a look at the bathroom.
IZ: どんな感じだろう...,I wonder what it's like...
IZ: 五右衛門風呂じゃなくて...,It's not a Goemon bath...
IZ: ちゃんと新品になっているんだね,"IZ: It's brand new, isn't it?"
IZ: 洗濯機もありまーす！,IZ: There's a washing machine too!
IZ: 実家を思い出すな...,IZ: Reminds me of my parents' house...
TR: 和室と...,TR: Japanese style room and...
TR: ベッドがある,TR: There's a bed.
TR: 綺麗　庭が見える,TR: Beautiful. You can see the garden.
T&Z: いいねぇ,T&Z: Nice!
IZ: 縁側でお茶飲みたいね TR: 素敵,I'd like to have a cup of tea on the porch. TR: Lovely.
TR: ここも全部開ける？ IZ: そうだね 開放しよう,"Can we open up the whole place? Yeah, let's open it up."
TR: 綺麗 ちゃんとした縁側,TR: Beautiful. A proper porch.
"IZ: いくらだったっけ？ TR: 今シーズンだったから1泊27,000円","IZ: How much was it? TR: It was this season, so 27,000 yen a night."
IZ:2人で？ TR: 一棟全部,For two people? TR: The whole building.
IZ: 4人ぐらいで行けば全然安いね TR: ホテルより安いね,TR: It's cheaper than a hotel.
IZ: ネットで予約してからここまで誰とも会ってない,IZ: I haven't met anyone since I booked online.
IZ: ちょっと名前書くぐらいだもんね... TR: NO 三密(笑),"IZ: Just a few names... TR: NO, three secret names."
IZ: 海外の人向けに英語のドキュメントとかもパッチリなので...,"TR: No, it's not."
IZ: 安心して利用できます,IZ: You can use it with peace of mind.
TR: 何食べようかな？,TR: What should we eat?
IZ: 逆にイタリアンとか作る？(笑) TR: ピザ？(笑),IZ: Do you want to make Italian food? (laughs) TR: Pizza? (laughs)
地元のトウモロコシとそうめんにしました。,IZ: I've decided on local corn and somen.
TR: お疲れ様でした〜 IZ: それじゃ 姶良に....,TR: Thanks for your hard work~ IZ: See you at Aira: ....
T&Z: 乾杯！,T&Z: Cheers!
IZ: 今日は海に行こうと思います,IZ: I'm going to the beach today!
IZ: 海へ行く途中にオーガニック系のお弁当を売っている惣菜屋さんがあったので,"IZ: On the way to the beach, I found a deli that sells organic lunch boxes."
IZ: ここでお弁当を買って海で食べましょう TR: 今日の弁当はパンですね,IZ: Let's buy lunch here and eat it at the beach! TR: Today's lunch is bread!
IZ: Instagramで有名な黒田さんという....,IZ: There's a guy named Kuroda who is famous on Instagram: ....
IZ: あまり有名になりたくないみたいですけど...,"IZ: He doesn't seem to want to be too famous, but..."
IZ: フリーランスのパン屋さんです TR: すごいよね,IZ: He's a freelance baker TR: That's amazing!
IZ: 念願のその人のパンを食べて行こうと思います,IZ: I'm going to try his bread.
IZ: 重富海水浴場に来ました,IZ: I'm at Shigetomi Beach.
TR: ここは木が多いね 公園みたい,"TR: There are so many trees here, it's like a park!"
IZ: 桜島が見える,IZ: You can see Sakurajima.
IZ: 広いね,IZ: It's huge!
TR: ベンチがあるから気軽に座れるね,TR: There are benches so you can sit down easily.
IZ: すごい あそこの砂州に人がいる,"IZ: Wow, there are people on the sandbar there!"
TR: 水も超キレイ,TR: The water is super clean!
IZ: トリは何パンにしたの？ TR: 野菜パンと...,IZ: What kind of bread did you make for Tori? TR: Vegetable bread and...
TR: これも野菜パン IZ: 全部野菜じゃん(笑),TR: This is also vegetable bread IZ: It's all vegetables!
