Phrase,Translation
ゆうべ髪の毛がぬれたまま寝てしまった。,I fell asleep last night with my hair wet.
家の壁にペンキを塗ってもらった。,I had the walls of my house painted.
パンにバターを塗ってください。,Please put butter on the bread.
蚊に刺されたところに薬を塗った。,I put medicine on a mosquito bite.
海に行くなら、日焼け止めを塗ったほうがいい。,"If you're going to the beach, you'd better put on some sunscreen."
彼女は真っ赤な口紅を塗っている。,She is wearing bright red lipstick.
映画館で財布を盗まれた。,My wallet was stolen at the movie theater.
銀行に泥棒が盗みに入りました。,The bank was robbed by thieves.
自転車が盗まれないように、鍵をかけておいた。,I locked my bicycle so that it would not be stolen.
親の目を盗んで酒を飲んだ。,I drank alcohol under the watchful eye of my parents.
彼らは人目を盗んで会った。,They met in public.
漢字の書き方を覚えるのは難しいです。,It is difficult to remember how to write Chinese characters.
先週行った店の名前を覚えていますか。,Do you remember the name of the restaurant you went to last week?
彼はもう仕事を覚えたようだ。,He seems to have learned his job already.
母は携帯電話の使い方がなかなか覚えられない。,My mother has a hard time remembering how to use her cell phone.
明日の会議は二時半からです。覚えておいてください。,Tomorrow's meeting starts at 2:30. Please remember that.
階段から落ちて、足にけがをしました。,I fell down the stairs and injured my leg.
百円玉が床に落ちている。,A hundred yen coin is on the floor.
しみがなかなか落ちない。,The stain is hard to remove.
棚から荷物が落ちそうです。,A package is about to fall off the shelf.
試験に落ちて、がっかりした。,I failed the exam and was disappointed.
そのニュースを聞いて、驚きました。,I was surprised when I heard the news.
ああ、驚いた。,"Yes, I was surprised."
彼の失礼な態度には驚かされた。,I was surprised at his rude attitude.
彼女は驚くほど歌がうまい。,She is an amazingly good singer.
驚いたことに、田中さんは会社を辞めてしまった。,"To my surprise, Mr. Tanaka quit the company."
一緒に踊ろう。,Let's dance together.
週末、踊りに行きませんか。,Why don't we go dancing on the weekend?
タンゴを踊ったことがありません。,I've never danced tango before.
足首を痛めていて、踊れません。,I can't dance because of my ankle injury.
喜びで胸が躍った。,My heart leapt with joy.
今朝何時に起きましたか。朝六時に起きました。,What time did you get up this morning? I woke up at six in the morning.
山田さんは朝早く起きられない。,Yamada-san can't get up early in the morning.
ゆうべ遅くまで起きていたから、今日はとても眠い。,"I was up late last night, so I'm very sleepy today."
起きろ。いつまで寝ているんだ。,Wake up. How long are you going to stay awake?
その交差点で交通事故が起きました。,There was a traffic accident at the intersection.
彼女はかんかんに怒っている。,She is very angry.
授業に遅れて、先生に怒られた。,I was late for class and the teacher got mad at me.
約束を忘れて、彼女を怒らせてしまった。,I forgot an appointment and made her angry.
殺人事件が起こったそうだ。,I heard that there was a murder.
空気が乾いているから、山火事が起こりやすい。,The air is dry and prone to forest fires.
明日の朝七時に起こしてください。,Please wake me up at seven o'clock tomorrow morning.
母に五時に起こされた。,My mother woke me up at five o'clock.
事故を起こさないように注意してください。,Please be careful not to cause any accidents.
転んだ子供を起こしてあげた。,I helped a child up who had fallen.
彼は事業を興した。,He started a business.
机の上に本が置いてある。,There are some books on the desk.
ここに荷物を置いてもいいですか。,Can I put my luggage here?
新しいソファーが欲しいけれども、置く場所がない。,"I want a new sofa, but I have nowhere to put it."
汚れた皿はそこに置いておいてください。,Please leave the dirty dishes there.
その会社の本社は東京に置かれている。,The headquarters of the company is located in Tokyo.
霧のため、飛行機の出発が二時間遅れた。,"Because of the fog, the plane was delayed for two hours."
電車の事故のせいで、会社に遅れた。,"Because of the train accident, I was late for work."
学校に遅れないように急いだ。,I had to hurry so as not to be late for school.
遅れてしまって、申し訳ありません。,I'm sorry I'm late.
この時計は五分ぐらい後れている。,This clock is about five minutes behind.
友達に手紙を送りました。,I sent a letter to my friend.
駅までお送りしましょう。,Let me take you to the station.
母から小包が送られてきた。,My mother sent me a parcel.
品物が届いたら、代金は一週間以内にお送りください。,"When you receive the goods, please send the payment within a week."
大学の入学祝いに、父から万年筆を贈られた。,My father gave me a fountain pen as a gift for entering college.
今日彼女は来ないと思います。,I don't think she will come today.
日本をどう思いますか。面白い国だと思います。,What do you think of Japan? I think it is an interesting country.
来月京都へ行こうと思っています。,I'm thinking of going to Kyoto next month.
彼が試験に落ちるとは思わなかった。,I didn't think he would fail the exam.
その映画は思っていたより面白かった。,That movie was more interesting than I thought it would be.
強風で木の枝が折れた。,The strong wind broke a tree branch.
雑誌の表紙が折れている。,The cover of the magazine is broken.
その角を右に折れると、郵便局があります。,"If you turn right at that corner, you will find a post office."
スキーで転んで、足の骨が折れてしまった。,I fell on my skis and broke my leg.
何度も話し合って、結局私のほうが折れました。,"We talked about it a lot, and eventually I broke mine."
品川駅で新幹線を降りた。,I got off the Shinkansen at Shinagawa station.
その階段を下りれば、地下鉄の駅があります。,"If you go down those stairs, there is a subway station."
あのエレベーターで一階に下りよう。,Let's take that elevator down to the first floor.
暗くならないうちに、山を下りなければならない。,We have to get down the mountain before it gets dark.
やっとビザが下りた。,"Finally, the visa came down."
桜の枝を折らないでください。,Please don't break the branch of the cherry tree.
手紙を三つに折って、封筒に入れた。,I folded the letter into three pieces and put them in an envelope.
彼女は折り紙で鶴を折ってくれた。,She folded a crane with origami.
彼は柔道の練習で腕を折ってしまった。,He broke his arm in judo practice.
話の腰を折らないでください。,Please don't break the story.
帽子が風で飛ばないように、両手で押さえた。,He held his hat with both hands so that it wouldn't blow away in the wind.
大きな音がして、思わず耳を押さえた。,A loud noise made her hold her ears involuntarily.
彼女は自分の感情を抑えられない。,She couldn't control her emotions.
そのミュージカルのいい席をおさえてあります。,I've saved you a good seat for that musical.
彼は声を抑えて話した。,He spoke in a hushed voice.
彼女に日本語を教えています。,I'm teaching her Japanese.
この漢字の読み方を教えてください。,Can you tell me how to read this kanji?
友達がおいしいレストランを教えてくれた。,My friend told me about a good restaurant.
駅へ行きたいんですが、道を教えていただけませんか。,"I'd like to go to the station, could you show me the way?"
母に教えてもらった通りにケーキを焼いてみた。,I baked a cake just like my mother taught me.
このボタンを押せば、ドアが開きます。,"If you press this button, the door will open."
誰かに背中を押されました。,Someone pushed me back.
ここにはんこを押してください。,Please press your stamp here.
彼は周囲の反対を押して、留学した。,He studied abroad over the objections of those around him.
後ろから押さないでください。,Please don't push me from behind.
すみません、ハンカチを落としましたよ。,"I'm sorry, but you dropped your handkerchief."
どこかで部屋の鍵を落としてしまった。,I dropped my room key somewhere.
もう少しスピードを落としたほうがいい。,You'd better slow down a little.
シャツに付いたしみが落とせない。,I can't remove the stain on my shirt.
床にたばこの灰を落とさないようにしてください。,Please try not to drop cigarette ashes on the floor.
彼女は先に出た妹を追って、駅まで走った。,"She ran to the station, following her sister who had left first."
彼は警察に追われている。,He's being chased by the police.
毎日仕事に追われている。,He is busy with his work every day.
彼はその火事で両手にやけどを負った。,He was burned on both hands in that fire.
チームが優勝できなかった責任を負って、監督が辞任した。,The coach resigned because he was responsible for the team's failure to win the championship.
授業があと十分で終わる。,My class is over in ten minutes.
五時に仕事を終わらせて、うちに帰った。,I finished my work at five o'clock and went home.
その映画が終わるのは何時ですか。,What time does the movie end?
その本を読み終わったら、私に貸してください。,"When you finish reading the book, please lend it to me."
答えを書き終わったら、出してください。,"When you finish writing the answer, please give it to me."
一週間に二、三回、プールで泳いでいます。,I swim in the pool two or three times a week.
どれぐらい泳げますか。全然泳げないんです。,How well do you swim? I can't swim at all.
夏になったら、海へ泳ぎに行こう。,"When summer comes, I will go swimming in the ocean."
この川で泳ぐのは危険だ。,It is dangerous to swim in this river.
先生は子供達をプールで泳がせた。,The teacher made the children swim in the pool.
明日は気温が下がるだろう。,The temperature will probably drop tomorrow.
薬を飲んで、熱が下がった。,I took some medicine and my fever went down.
円の相場は上がったり下がったりしています。,The price of the yen has been going up and down.
電車が来るので、少し後ろに下がってください。,"The train is coming, so please move back a little."
学校の成績が下がってしまった。,My grades at school have gone down.
何を捜しているの。,What are you looking for?
アパートを探すのに苦労しました。,I had a hard time finding my apartment.
部屋中捜したけれども、鍵は見つからなかった。,"I searched the whole room, but couldn't find the key."
新しいバイトを探さなければなりません。,I have to find a new job.
鍵をその辺に落としたんだけど、一緒に捜してくれない。,"I dropped my keys around the corner, but they wouldn't come with me."
まぶしいので、ブラインドを下げてもいいですか。,"It's too bright in here, can I lower the blinds?"
少しテレビの音を下げてもらえませんか。,Can you please turn down the TV a little?
ちょっと暑いから、エアコンの温度を下げよう。,"It's a little hot, let's turn down the air conditioner."
食事が終わったら、食器を台所に下げてください。,"When you finish eating, please take the dishes down to the kitchen."
セール中は商品の値段を三割下げて売っている。,"During a sale, the price of an item is reduced by 30%."
詰め込み過ぎて、袋が裂けてしまった。,I packed so much that the bag ripped open.
それは口が裂けても言えない。,I can't talk about that.
ラッシュを避けるために、朝早く家を出た。,I left home early in the morning to avoid the rush hour.
彼は私を避けているようだ。,He seems to be avoiding me.
ストライキ突入は避けられないだろう。,The strike will be inevitable.
桜の花が咲いています。,The cherry blossoms are in bloom.
この花はもうすぐ咲きそうだ。,These flowers are going to bloom soon.
梅の花は二月ごろ咲きます。,Plum blossoms bloom around February.
書類を細かく裂いて捨てた。,He tore the documents into small pieces and threw them away.
お時間を十分ほど割いていただけませんか。,Could you please give me enough time?
彼はつえで体を支えている。,He is supporting himself with a staff.
彼は大家族を支えていかなければなりません。,He has to support his large family.
倒れそうな本棚が棒で支えてある。,A bookshelf that is about to fall over is supported by a stick.
落ち込んでいたとき、友達が支えてくれた,"When I was depressed, my friends supported me."
その慈善活動は寄付金で支えられている。,Their charity work is supported by donations.
友達を誘って、買い物に行った。,I invited my friend to go shopping.
彼女をデートに誘おうと思っています。,I'm thinking of asking her out on a date.
山田さんに食事に誘われました。,Mr. Yamada invited me to dinner.
パーティーに誘ってくれて、ありがとう。,Thank you for inviting me to the party.
面白い展覧会があったら、是非誘ってください。,"If you find an interesting exhibition, please invite me."
針で指を刺してしまった。,I pricked my finger with a needle.
虫に足を刺された。,An insect stung me on the leg.
矢印の指す方向に進んでください。,Please go in the direction of the arrow.
人を指で指すのは失礼です。,It is rude to point at someone.
雨が降り出したから、傘をさしたほうがいい。,"It's starting to rain, so you'd better take an umbrella."
教室で騒がないでください。,Please don't make noise in the classroom.
お酒を飲んで、騒いでいる人は誰ですか。,Who is the person who is drinking alcohol and making noise?
その事件は世間を騒がせた。,The incident caused a public commotion.
私が騒いだら、泥棒は逃げて行った。,"When I made a fuss, the thief ran away."
騒ぐな、落ちつけよ。,"Don't make a fuss, take it easy."
古い雑誌をひもで縛って、部屋の隅に置いた。,I tied an old magazine with a piece of string and put it in the corner of the room.
髪の毛を後ろで一つに縛った。,I tied my hair back in a bun.
犬のひもを杭に縛っておいた。,He tied the dog's leash to a stake.
彼は一日中仕事に縛られていた。,He was tied to his work all day long.
時間に縛られていて、自由に動けない。,He was tied to the time and could not move freely.
遅刻して、先生に叱られた。,He was late and was scolded by the teacher.
お父さんは厳しく息子を叱りました。,The father scolded his son severely.
母に叱られないように、部屋を片付けた。,He cleaned up his room so that his mother would not scold him.
いくら叱っても、娘は言う事を聞かない。,"No matter how much I scolded her, she wouldn't listen to me."
そんなにがみがみ叱らないでください。,Please don't scold her so stridently.
旅館では畳に布団を敷いて寝ます。,"In ryokan, we sleep on tatami mats with futons on the floor."
床に赤いじゅうたんを敷きたい。,I want to put a red carpet on the floor.
ベッドに新しいシーツが敷いてある。,There are new sheets on the bed.
彼は女房の尻に敷かれている。,He's on his wife's ass.
空港からこの町まで鉄道を敷く計画がある,There are plans to build a railroad from the airport to this town.
ドアは自動的に閉まります。,The door closes automatically.
図書館は六時に閉まる,The library closes at six.
窓が全部閉まっているか、確かめてください。,Please make sure that all the windows are closed.
このねじは完全に締まっていない。,This screw is not fully tightened.
靴ひもが固く締まっていて、ほどけない。,My shoelaces are tight and I can't untie them.
これを机の引き出しにしまってください。,Put this away in your desk drawer.
貴重品は金庫にしまってあります。,Your valuables are in the safe.
今日中に宿題をやってしまいます。,I will do my homework by the end of the day.
この小説はもう全部読んでしまった。,I've already read all of this novel.
電話番号を間違えてしまいました。,I've got the wrong phone number.
ドアを閉めてください。,Please close the door.
窓を閉めるのを忘れた。,I forgot to close the window.
車に乗ったら、シートベルトを締めなければならない。,"When you get into the car, you must fasten your seatbelt."
彼は会社で重要な地位を占めている。,He occupies an important position in the company.
電気製品は輸出の六割を占めている。,Electrical products account for sixty percent of our exports.
温度計は零下十度を示した。,The thermometer read ten degrees below zero.
彼女は私の事情に理解を示してくれた,She was very understanding of my situation.
彼は私の言った事に興味を示さなかった。,He was not interested in what I had to say.
この地図で都市は赤い点で示されている。,"On this map, cities are marked with red dots."
市場は景気が回復する兆候を示している。,The market is showing signs of economic recovery.
私は彼女の成功を信じています。,I believe in her success.
彼の言う事は信じられません。,I don't believe a word he says.
そんな馬鹿な話は誰も信じないだろう。,No one would believe such a ridiculous story.
山の上からの景色は信じられないぐらい素晴らしかった。,The view from the top of the mountain was unbelievably wonderful.
信じようが信じまいが、それは本当の話だ。,"Believe it or not, it's a true story."
その飛行機事故で多くの乗客が死んだ。,A lot of passengers died in that plane crash.
父が死んでから五年になる。,It's been five years since my father died.
彼に謝るぐらいなら、死んだほうがましだ。,I'd rather die than apologize to him.
その講義は死ぬほどつまらなかった。,That lecture was boring to death.
おかしくて死にそうでした。,I felt like I was going to die.
分からない言葉は辞書で調べてください。,"If you don't understand a word, please look it up in the dictionary."
レポートを出す前に、文章に間違いがないかどうか調べた。,"Before submitting a report, I checked the text for errors."
インターネットで日本料理のレストランを調べてみた。,I looked up a Japanese restaurant on the Internet.
警察はその事故の原因を調べているところだ。,The police are investigating the cause of that accident.
空港の税関でスーツケースを詳しく調べられた。,I had my suitcase examined in detail at the airport customs.
電話番号が変わったので、友達に知らせた。,I informed my friends that my phone number had changed.
試験の合格を知らせる手紙が届いた。,I received a letter letting me know that I passed the exam.
明日の会議の時間が決まったら、知らせてください。,Please let me know when the meeting time is set for tomorrow.
食事の準備ができましたら、お知らせします。,Let me know when the meal is ready.
彼は仕事を変えたと後から知らせられた。,I was later informed that he had changed his job.
あなたは彼の名前を知っていますか。いいえ、知りません。,"Do you know his name? No, I don't."
社長が入院なさったことをご存知ですか。,Do you know that the president has been hospitalized?
いいえ、存じませんでした。,"No, I did not know."
天ぷらの作り方を知っていたら、教えてください。,"If you know how to make tempura, please tell me."
彼は建築家として、世界中に知られている。,He is known all over the world as an architect.
規則には従わなければなりません。,You have to follow the rules.
医者の忠告に従って、お酒をやめた。,"Following the doctor's advice, I quit drinking."
非常の場合は、係員の指示に従ってください。,"In case of emergency, please follow the instructions of the attendant."
両親の言う事に従ったほうがいいよ。,You'd better follow what your parents tell you to do.
 彼は上司の命令に従わなくて、首になった。, He was fired for disobeying his boss's orders.
海岸で海に沈む夕日を見た。,We watched the sun set over the ocean on the beach.
太陽が沈んだら、急に寒くなった。,"When the sun went down, it suddenly became cold."
船が岩にぶつかって、沈んでしまった。,The boat hit a rock and sank.
彼女は悲しみに沈んでいます。,She sank into sadness.
古代の船が海底に沈んでいる。,The ancient ship is sinking to the bottom of the sea.
彼女は一人で三人の子供を育てた。,She raised three children by herself.
母は花を育てるのが趣味です。,My mother enjoys growing flowers.
田中さんは両親に厳しく育てられたそうだ。,Mr. Tanaka was raised strictly by his parents.
彼は新入社員を育てる仕事をしている。,He is in the business of training new recruits.
 そのコーチは多くの優秀な選手を育ててきた。, His coach has trained many excellent players.
私は東京で生まれて、横浜で育ちました。,I was born in Tokyo and raised in Yokohama.
彼は生まれ育った町を出て、都会で働いている。,He left the city where he was born and raised and is now working in the city.
今年は天気が良くて、野菜が良く育った。,The weather was good this year and the vegetables grew well.
寒い気候ではパイナップルは育ちません。,Pineapples do not grow in cold weather.
その会社は数年で大企業へと育った。,The company grew into a large corporation in a few years.
ここでたばこを吸ってもいいですか。,May I smoke a cigarette here?
いいえ、吸わないでください。,"No, please don't smoke."
たばこをお吸いになりますか。いいえ、吸いません。,"Do you smoke cigarettes? No, I don't smoke."
深く息を吸って、ゆっくり吐いてください。,Inhale deeply and exhale slowly.
新鮮な空気が吸いたい。,I want to get some fresh air.
木綿の下着は汗をよく吸います。,Cotton underwear absorbs sweat very well.
電車は少し前に品川駅を過ぎた。,The train passed Shinagawa station a little while ago.
約束の時間を過ぎても、彼は来なかった。,"Even though it was past the appointed time, he didn't show up."
彼は四十歳を過ぎている。,He is over forty years old.
この本は私には難しすぎる。,This book is too difficult for me.
ゆうべお酒を飲み過ぎて、今日は二日酔いです。,"I drank too much alcohol last night, and today I have a hangover."
東京で一か月過ごしました。,I spent a month in Tokyo.
夏休みを南の島で過ごせたらいいのに。,I wish I could spend my summer vacation on a southern island.
よい週末をお過ごしください。,I hope you have a good weekend.
お正月休みは、どう過ごされましたか。,How did you spend your New Year's vacation?
時間を無駄に過ごすな。,Don't waste your time.
彼はみんなに好かれている。,He is well liked by everyone.
電車はこんでいましたか、すいていましたか。,Were the trains crowded or empty?
道がすいていたら、早く着くでしょう。,"If the roads are empty, you'll arrive early."
おなかがすいた。,I'm hungry.
手がすいていたら、ちょっと手伝ってください。,"If your hands are busy, please help me."
あなたはどこに住んでいますか。広尾に住んでいま す。,Where do you live? I live in Hiroo.
この町はとても住みやすいです。,This town is very comfortable to live in.
旅行の手配は、もう済みましたか。,Have you made your travel arrangements yet?
仕事が済んだら、コーヒーでも飲みに行きましょう。,"When you are done with your work, let's go for a cup of coffee."
事故にあったが、幸いけがをしないで済んだ。,"I had an accident, but fortunately I was not injured."
日曜日に何をしますか。することがいっぱいありま す。,What are you going to do on Sunday? I have a lot of things to do.
お父さんは何をしていますか。先生をしています。,What does your father do? I'm a teacher.
ズボンのすそをもう少し短くしてください。,Please make the waist of the pants a little shorter.
その時計はいくらしましたか。,How much did you spend on that watch?
飲み物は何にしますか。紅茶にします。,What would you like to drink? I'll have a cup of tea.
この計画を進めてください。,Please proceed with this project.
工事は順調に進められている。,The construction is proceeding smoothly.
父は私に外国留学を勧めた。,My father advised me to study abroad.
温泉に行きたいなら、箱根をお勧めします。,"If you want to go to a hot spring, I suggest you go to Hakone."
先生にこの辞書を薦められた。,The teacher recommended this dictionary to me.
私たちは、林の中を五キロ進んだ。,We traveled five kilometers through the woods.
この国の科学技術は大変進んでいます。,The science and technology in this country is very advanced.
みんなの意見が分かれて、会議が進まなかった。,The meeting didn't go well because everyone had different opinions.
彼は進んで仕事を手伝ってくれた。,He was willing to help me with my work.
この時計は五分ぐらい進んでいる。,This watch is about five minutes ahead of schedule.
道路にごみを捨てないでください。,Please do not throw garbage on the road.
引っ越しの時、要らない物をたくさん捨てました。,"When I moved, I threw away a lot of things I didn't need."
古い写真や手紙はなかなか捨てられない。,It's hard to throw away old photos and letters.
この箱は捨ててもいいですか。,Can I throw away this box?
母に漫画の本を捨てられてしまった。,My mother threw away my comic books.
どうぞここに座ってください。,Please take a seat here.
この席に座ってもいいですか。,May I sit in this seat?
子供はピアノに向かって座った。,The child sat down at the piano.
先生は学生をいすに座らせた。,The teacher sat the student in the chair.
この座席には二人しか座れないだろう。,There would be only two people in this seat.
もう昼御飯を食べましたか。いいえ、まだ食べていません。,"Have you eaten lunch yet? No, I haven't eaten yet."
一緒に晩御飯を食べよう。,Let's have dinner together.
もう少しお菓子を召し上がりませんか。はい、いただきます。,"Would you like to have some more sweets? Yes, I will."
彼女は生の魚が食べられません。,She can't eat raw fish.
子どもの時、母に野菜を食べさせられた。,"When I was a child, my mother made me eat vegetables."
銀行の口座に五十万円たまった。,"I have accumulated 500,000 yen in my bank account."
机の上にほこりがたまっている。,There is a lot of dust on my desk.
家賃の支払いが二か月分たまっている。,He has a two-month rent payment piling up.
彼はかなりストレスがたまっているようだ。,He seemed to be under a lot of stress.
仕事がたまっていたので、パーティーに行かなかった。,I didn't go to the party because I had a lot of work to do.
新しいテレビを買うために、お金をためています。,I am saving up money to buy a new TV.
この地方では雨水をためて、それを飲料水に使う。,"In this region, they store rainwater and use it for drinking water."
疲れをためないように、時々休んだほうがいい。,You should take a rest from time to time so that you don't get tired.
このカードのポイントをためれば、賞品と交換できる。,"If you accumulate points on this card, you can exchange them for prizes."
宿題をためてしまって、先生に叱られた。,I got scolded by my teacher for saving up my homework.
新しい商品を試してみた。,I tried out a new product.
自分の力を試すために、試験を受けてみた。,I took a test to test my ability.
何度も試してみて、やっと成功した。,"After many attempts, I finally succeeded."
どなたでもご自由にお試しください。,Everyone is free to try.
父に空港まで送ってくれるように頼んだ。,I asked my father to drive me to the airport.
母に買い物を頼まれました。,My mother asked me to do some shopping.
彼に頼めば、手伝ってくれるでしょう。,"If you ask him, he will help you."
飲み物は何を頼みましょうか。,What should I ask you to drink?
頼むから、この事は秘密にしてください。,"Please, don't tell anyone about this."
仕事のことは忘れて、楽しみましょう。,Let's forget about work and have some fun.
日曜日にドライブを楽しもうと思っています。,I'm planning to enjoy a drive on Sunday.
沖縄では一年中きれいな海が楽しめます。,"In Okinawa, you can enjoy the beautiful sea all year round."
最近忙しくて、趣味の釣りを楽しむ時間がない。,I've been so busy lately that I haven't had time to enjoy my hobby of fishing.
妹は学生生活を楽しんでいるようだ。,My sister seems to be enjoying her student life.
彼女は気を失って、床に倒れました。,She fainted and fell to the floor.
台風で公園の木が倒れました。,A typhoon caused a tree in the park to fall.
木の根につまずいて、倒れそうになった。,He tripped over the roots of the tree and almost fell.
彼は過労で倒れて、入院した。,He collapsed from overwork and was hospitalized.
本棚が倒れないように、壁に固定した。,I fixed the bookshelf to the wall so that it would not fall over.
掃除をしていて、うっかりして花瓶を倒してしまった。,I accidentally knocked over a vase of flowers when I was cleaning.
グラスを倒さないようにしてください。,Try not to knock over the glass.
彼はテニスの試合で強敵を倒した。,He defeated a strong opponent in a tennis match.
現内閣を倒すべきだと彼は主張した。,"The current cabinet should be defeated, he insisted."
チャンピオンは挑戦者に倒された。,The champion was defeated by the challenger.
このレストランの支払いは一万円あれば足りるでしょう。,Ten thousand yen should be enough to pay for this restaurant.
お金が一万円足りません。,"We are 10,000 yen short of money."
部品が足りなくて、機械の修理ができない。,I can't repair the machine because I don't have enough parts.
もっと勉強したいが、時間が足りない。,"I want to learn more, but I don't have enough time."
この仕事をするには彼は経験が足りません。,He doesn't have enough experience to do this job.
飛行機の到着時間を電話で確かめました。,I called to check the arrival time of the plane.
これが正しいかどうか確かめてください。,Please make sure that this is correct.
予定を確かめてから、お電話します。,I'll call you back after I confirm my schedule.
パーティーに出席する人の数を確かめなければならない。,We need to find out how many people will be attending the party.
それが本当だということが確かめられた。,It was confirmed to be true.
少年が川に落ちたが、助かった。,"The boy fell into the river, but he survived."
その事故で運転手は奇跡的に助かったそうだ。,The driver miraculously survived that accident.
友達に引っ越しを手伝ってもらって、助かった,"A friend helped him move, and he was saved."
丁寧に教えてくださって、大変助かりました。,They were very helpful and polite.
新しいバスが通ったら、住民はとても助かるだろう。,"When the new bus comes through, the residents will be very helpful."
彼は海でおぼれそうな子供を助けました。,He helped a child who was drowning in the sea.
母が私の宿題を助けてくれました。,My mother helped me with my homework.
「助けて」という声がどこかから聞こえた,"I heard a voice from somewhere saying, ""Help me."""
医者はその患者を助けることができなかった。,The doctor could not help the patient.
周りの人に助けられて、プロジェクトを成功させた。,"With the help of people around me, I succeeded in my project."
