Expression,Reading,Meaning
人形,にんぎょう,"doll, figure"
利用,りよう,"use, utilization"
飾る,かざる,"to decorate, to adorn"
止める,とめる,to stop (something)
恥ずかしい,はずかしい,"ashamed, embarrassed"
いくら～ても,いくら～ても,however much one may ~
用事,ようじ,business to take care of; tasks; errands
ビル,ビル,(abbr.) building
けんかする,けんかする,quarrel
頑張る,がんばる,"to try one's best, to try hard, to persist"
投げる,なげる,"to pitch, to cast away"
故障,こしょうする,breakdown
力,ちから,"strength, power"
受ける,うける,"to take (an examination, interview, etc.); to receive"
気分,きぶん,"feeling, mood"
間違える,まちがえる,to make a mistake
そんな,そんな,"such, like that, that sort of"
星,ほし,star
場合,ばあい,"case, situation"
やっと,やっと,"at last, finally"
足りる,たりる,to be sufficient; to be enough
行う,おこなう,to carry out; to conduct
ぶどう,ぶどう,grapes
無くなる,なくなる,"to disappear, to get lost"
準備,じゅんびする,prepare
世界,せかい,world
住所,じゅうしょ,address; place of residence
再来月,さらいげつ,the month after next
林,はやし,"woods, forest"
倍,ばい,double
痩せる,やせる,to lose weight
線,せん,"line, wire"
戦争,せんそう,war
決める,きめる,to decide (v.t.)
調べる,しらべる,to check; to look up; to inquire; to search
寝坊,ねぼう,sleeping in late
パパ,パパ,"papa, daddy"
光る,ひかる,"to shine, to glitter"
夫,おっと,husband
雲,くも,cloud
坂,さか,"slope, hill"
～(て) しまう,～(て) しまう,to end up ~
飛行場,ひこうじょう,airport
柔道,じゅうどう,judo
決して,けっして,never
事務所,じむしょ,office
連絡,れんらく,"communication, contact, connection"
小学校,しょうがっこう,elementary school
客,きゃく,"guest, customer"
昔,むかし,old days; past
美しい,うつくしい,"beautiful, lovely"
捨てる,すてる,"throw away (trash), dump, discard"
なさる,なさる,honorific expression for  suru
事,こと,"thing(s), matter(s), fact"
どんどん,どんどん,quickly and steadily; at a rapid pace
試合,しあい,"match, game, competition"
適当,てきとう,"fitness, suitability"
素晴らしい,すばらしい,wonderful; terrific
美術館,びじゅつかん,"art gallery, art museum"
文法,ぶんぽう,grammar
終わり,おわり,end
壁,かべ,wall
一度,いちど,"once, one time"
お礼,おれい,expression of gratitude; thanking; gift of appreciation; bow
親切,しんせつ,kindness
知らせる,しらせる,to notify
歯医者,はいしゃ,dentist
熱心,ねっしん,enthusiasm
始める,はじめる,"to start, to begin"
もらう,もらう,to receive
泣く,なく,to cry
治る,なおる,to get better; to recover from illness (v.i.)
熱,ねつ,"fever, temperature"
お祭り,おまつり,festival
水道,すいどう,"water service, water line"
匂い,におい,"odor, smell"
ベル,ベル,bell
赤ん坊,あかんぼう,baby
おかしい,おかしい,strange; odd; funny
事故,じこ,accident
変,へん,"strange, odd"
辞典,じてん,"encyclopedia, reference book"
残る,のこる,"to remain (v.i.), to be left"
立てる,たてる,"to stand (something) up, to erect (something)"
くれる,くれる,"to give, to do for"
～員,～いん,member of ~
原因,げんいん,"cause, origin, source"
驚く,おどろく,"to be surprised, to be astonished"
いただく,頂く,modest exp.for taberu and nomu; humble exp.for morau
祖母,そぼ,grandmother
場所,ばしょ,"place, location"
答,こたえ,"answer, response"
もちろん,もちろん,"certainly, of course"
漬ける,つける,"to soak, to moisten, to pickle"
受付,うけつけ,reception(ist) desk
内,うち,"within, inside"
スクリーン,スクリーン,screen
増える,ふえる,"to increase, to multiply"
または,または,"or, otherwise"
けがする,けがする,"injury (to animate object), hurt"
以下,いか,"less than, below"
選ぶ,えらぶ,to choose; to select
～ばかり,～ばかり,"just did ~, only"
心,こころ,"heart, mind"
～だす,～だす,to start doing ~
サラダ,サラダ,salad
届ける,とどける,to deliver (v.t.)
あいさつする,挨拶,greet(ing)
景色,けしき,"scenery, landscape"
確か,たしか,"if I remember correctly; certain, definite"
ステーキ,ステーキ,steak
食料品,しょくりょうひん,"foodstuff, groceries"
森,もり,forest
以内,いない,"within, less (no more) than"
予定,よてい,"plans, arrangement, schedule"
オーバー,オーバー,"overcoat; over, exceeding, exaggeration"
乾く,かわく,to get dry
石,いし,stone
思い出す,おもいだす,"to recall, to remember"
踊る,おどる,to dance
細かい,こまかい,"small; fine, minute"
塗る,ぬる,"to paint, to plaster"
ご主人,ごしゅじん,"(your, her) husband"
珍しい,めずらしい,"unusual, rare"
用,よう,"errand, task, business (to take care of)"
公務員,こうむいん,"government worker, public servant"
お嬢さん,おじょうさん,(someone's) daughter (polite)
用意,ようい,preparation
探す,さがす,"to search, to seek, to look for"
形,かたち,shape
運転,うんてんする,driving
すっかり,すっかり,"all, completely"
アナウンサー,アナウンサー,announcer
お土産,おみやげ,souvenir
消しゴム,けしゴム,eraser
旅館,りょかん,a Japanese inn
海岸,かいがん,"coast, seashore"
寂しい,さびしい,"lonely, lonesome"
火,ひ,fire
育てる,そだてる,to raise (v.t.); to bring up
味噌,みそ,"miso, bean paste"
お祝い,おいわい,"congratulation, celebration"
乗り物,のりもの,vehicle
案内,あんないする,"information, guidance"
通う,かよう,to go back and forth; to commute
連れる,つれる,"to lead, to take (a person)"
技術,ぎじゅつ,"technique, technology, skill"
小鳥,ことり,small bird
下宿,げしゅく,"lodging, boarding house"
ジャム,ジャム,jam
招待,しょうたいする,invitation
鏡,かがみ,mirror
はず,はず,it should be so
法律,ほうりつ,law
進む,すすむ,"to advance, to proceed"
楽む,たのしむ,to enjoy
貿易,ぼうえき,trade
反対,はんたい,"oppose, opposition, resistance"
おる,おる,extra-modest expression for iru
申す,もうす,extra-modest (humble) expression for iu
試験,しけん,an exam
真面目,まじめ,"diligent, serious"
ごらんになる,,honorific expression for miru 
店員,てんいん,clerk; shop-employee
泊まる,とまる,to stay (over night) (v.i.)
よろしい,よろしい,"(hon.) good, OK, all right"
今夜,こんや,"this evening, tonight"
おつり,おつり,change; balance of money returned to the purchaser
チェックする,チェックする,check
会話,かいわ,conversation
空気,くうき,"air, atmosphere"
交通,こうつう,"traffic, transportation"
ワープロ,ワープロ,word processor
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad"
急行,きゅうこう,express train or bus
皆,みな,everyone
味,あじ,"flavor, taste"
空港,くうこう,airport
手袋,てぶくろ,glove(s)
校長,こうちょう,"principal, headmaster"
ごちそう,ごちそう,"feast, treating (someone)"
踊り,おどり,dance
興味,きょうみ,interest (in something)
引っ越す,ひっこす,to move to a new place of residence
冷房,れいぼう,"cooling, air conditioning"
都合,つごう,"circumstances, convenience"
遠慮,えんりょする,"restraint, reserve, hesitate"
亡くなる,なくなる,to pass away
科学,かがく,science
はっきり,はっきり,"clearly, distinctly"
差し上げる,さしあげる,humble expression for ageru
気持ち,きもち,"feeling, sensation, mood"
祖父,そふ,grandfather
港,みなと,"harbor, port"
予約,よやく,reservation
凄い,すごい,"terrific, great"
入学,にゅうがくする,entry to school or university
片付ける,かたづける,"to (clean) tidy up (v.t.), to put away"
写す,うつす,to copy (v.t.); to photograph
パソコン,パソコン,(personal) computer
部長,ぶちょう,department (division) manager
火事,かじ,fire
足す,たす,to add (numbers)
教会,きょうかい,church
彼ら,かれら,they (usually male)
いっぱい,一杯,"full, to the utmost"
アメリカ,アメリカ,"America, U.S.A."
男性,だんせい,man; male
理由,りゆう,reason
生産,せいさんする,production; to produce
着物,きもの,kimono; Japanese traditional dress
おもちゃ,おもちゃ,a toy
暮れる,くれる,"to get dark, to come to an end"
釣る,つる,to fish
～ちゃん,～ちゃん,suffix for familiar (female) person
打つ,うつ,"to hit, to strike"
あんな,あんな,"such, like that"
謝る,あやまる,to apologize
昼間,ひるま,"daytime, during the day"
教育,きょういく,education
女性,じょせい,woman
米,こめ,uncooked rice
邪魔,じゃま,"hindrance, intrusion"
国際,こくさい,international
隅,すみ,corner
伺う,うかがう,"humble form of iku, kiku and  kuru"
再来週,さらいしゅう,the week after next
夢,ゆめ,a dream
喉,のど,throat
最近,さいきん,"recently, nowadays, in recent years, most recent, latest"
周り,まわり,surroundings
歴史,れきし,history
不便,ふべん,inconvenience
血,ち,blood
～続ける,～つづける,to continue doing ~
毛,け,"hair, fur"
ひどい,ひどい,"terrible, awful, unfair, cruel"
例えば,たとえば,"for example, e.g."
中々,なかなか,"very, considerably, quite"
随分,ずいぶん,extremely
～やすい,～やすい,easy to do ~
押し入れ,おしいれ,closet
電灯,でんとう,electric light
叱る,しかる,to scold
サンダル,サンダル,sandal
びっくりする,びっくりする,to be surprised
うまい,うまい,delicious; skillful; fortunate
変える,かえる,"to change, to alter, to vary"
講堂,こうどう,auditorium
子,こ,child
沸かす,わかす,to boil
レジ,レジ,register
しばらく,しばらく,little while
特に,とくに,particularly
空く,あく,"to open, to become empty (vacant)"
計画,けいかくする,"plan, project, schedule"
通り,とおり,"~ Street, ~ Avenue"
下着,したぎ,underwear
経済,けいざい,"economics, finance, economy"
こう,こう,"like this, this way"
是非,ぜひ,"certainly, by all means; without fail"
裏,うら,"reverse side, back"
為,ため,"good, advantage, in order to"
おいでになる,おいでになる,(hon.) to be
変わる,かわる,"to change (v.i.), to be transformed, to vary"
以外,いがい,"other than, with the exception of, excepting"
済む,すむ,"to finish, to end"
ハンバーグ,ハンバーグ,hamburger steak
市,し,city
引き出し,ひきだし,drawer
遊び,あそび,play
支度,したくする,preparation
～始める,～はじめる,to start doing 
見える,みえる,to be visible; polite verb meaning kuru
十分,じゅうぶん,enough
音,おと,"sound, note"
きっと,きっと,"surely, definitely, undoubtedly, certainly"
まず,まず,"first (of all), to start with"
遠く,とおく,"far away, distant"
大体,だいたい,approximately; in most cases; in general; to begin with
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)"
正しい,ただしい,correct
輸入,ゆにゅう,import
返事,へんじ,"reply, answer"
都,と,metropolitan
産業,さんぎょう,industry
伝える,つたえる,"to convey (a message); to tell, to report"
お金持ち,かねもち; おかねもち,rich person
説明,せつめい,explanation
島,しま,island
道具,どうぐ,tool
滑る,すべる,"to slide, to slip"
それほど,それほど,to that degree; extent
以上,いじょう,more than; this is all
～まま,～まま,as it is
特急,とっきゅう,limited express (train faster than an express)
プレゼント,プレゼント,"present, gift"
～(に) よると,～(に) よると,according to ~
妻,つま,wife (humble)
帰り,かえり,"return, coming back"
具合,ぐあい,"condition, state, health"
堅; 硬; 固い,かたい,"solid, hard, firm"
