Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
タープは利用されます？,Will you be using the tarp?,コンビニで朝食買ってくるけど、何にするの？,I'll go to the convenience store and get you breakfast. What do you want?,っていうか、なでしこちゃん、そんなに荷物背負って、大丈夫なん？,"I mean, Nadeshiko-chan, are you sure you'll be okay with all that luggage on your back?",スウェーデントーチや木こりのろうそくとも呼ばれるらしい,It's also called a Swedish torch or a lumberjack candle.,まず、林間キャンプ場,"First, there are forest campgrounds.",出たな、怪人ブランケット,"There it is, the monster blanket.",よし！,Okay!,いっぱい調べてナビするね！,I'll do a lot of research and navigate!,じゃ、私そろそろ寝るよ,"Well, I'm going to bed.",いや、あれはウサギじゃない,"No, that's not a rabbit.",あのシリーズお姉ちゃんが大好きで家にDVDあるよ,My sister loved that series and I have the DVD at home.
テントだけです。,"No, just a tent.",焼肉チャーハンと、プリンと、唐揚げと、ポテチと、バームクーヘンと、アイスと、豚骨塩ラーメン,"Fried rice with grilled meat, pudding, fried chicken, potato chips, baumkuchen, ice cream, salted pork ramen.",こういうのあった方が疲れへんよ。こっから先、上りやし,It's better to have something like this so you don't get tired. We're going uphill from here.,割れている薪を束にして中に着火剤を入れれば,If you take a bunch of split logs and put some kindling inside...,次に、臨海キャンプ場,"Next, waterfront campgrounds",リンちゃんの分もありますぞ,"We've got one for you, too, Lin.",テスト頑張るぞ！,Good luck with the test!,さて,Well...,まだ寝るのかよじゃ、私そろそろ寝るよ,You're still going to bed?,あれは・・・ちくわだ！,It's a... It's a bamboo shoot!,途中浜名湖の近く通ってたけど、なでしこが住んでたのあの辺？,"On the way, we passed by Lake Hamana. Is that where Nadeshiko lived?"
"では2,000円ですね","Then it's 2,000 yen.",おにぎりとお茶ね,Rice balls and tea.,やばいかな,That's not good.,ほれ,Voila!,で、芝生キャンプ場,Then there are grass campgrounds.,秘密結社ブランケット,A secret society blanket.,さて、早速磨いて木皿でスープ飲んじゃうぜ,"Now, let's polish up and drink soup from a wooden plate!",どんなところ紹介してくれるのやら,I wonder what kind of places you'll show me.,もう布団と結婚してしまえまだ寝るのかよじゃ、私そろそろ寝るよ,Then I'm going to bed.,ちくわ,Chikuwa.,うん、そう、海のすぐ近くだよ,"Yes, that's right. It's near the ocean."
えっとこっちが城内の地図と利用許可証になります？,Here's a map of the castle and a permit for use.,濡れてる,It's wet.,しかたねぇな。,It can't be helped.,普通のたき火とは違った雰囲気で,It's a different atmosphere than a regular bonfire.,これは、展望キャンプ場,This is a campground with a view,そろそろいいかな,I think it's time.,ただのコーンスープも木皿に注ぐだけでこんなに・・・,"Just by pouring corn soup into a wooden dish, it becomes so...",リンちゃん、リンちゃん、観光スポット見つけたよ！,"Lin, Lin, I found a place to visit!",まだ寝るのかよもう布団と結婚してしまえ,Then I'm going to bed.,おーい、リン、なでしこちゃん、おはよう,"Hey, Rin, Nadeshiko, good morning.",海、いいよな,The ocean sounds nice.
2000円か,"2,000 yen?",眩しい,It's so bright.,疲れたときはその荷物、私が背負ってやんよ,"If you get tired, I'll carry that luggage for you.",いいね,It's nice.,最後に、河川・湖畔キャンプ場,"Lastly, riverside and lakeside campgrounds.",よし、煮えてる,"Okay, it's boiling.",臭っ,Stinky!,お、いい所見つかった,"Oh, I found a great place!",もう布団と結婚してしまえ,Marry me to the futon!,出たなウサギ犬の飼い主,"There you are, the rabbit-dog owner.",今度原付で行こうかな,Maybe I'll take my moped there next time.
2000円か,"2,000 yen?",まあ、いいよ,It's fine.,きゃー、あきちゃんかっこいい,"Wow, Aki-chan is so cool!",これ、上に鍋直乗せして料理もできるんだぜ,You can even put a pot directly on top of it and cook!,富士五湖周辺は大体これやな,This is the general area around the Fuji Five Lakes.,プチ鍋スープできたよ,I made a little pot of soup.,塗料を離したアカシア製木皿には独特の匂いがあります,Acacia wood dishes that have been cleaned of paint have a peculiar smell.,任せてよね！,You can count on me!,ダメよ、私は既にこたつと結婚しているの、そんなこといけないわもう布団と結婚してしまえ,"No, I'm already married to the kotatsu, you can't do that, just marry the futon.",大垣さんたちはまだなの？,Where are Ogaki and the others yet?,海いいよ,The ocean is nice.
解放感すげー,What a sense of freedom!,さっきから何にやにやしてるの？,What are you smiling at me for?,なぁ、いぬこ何？,"Hey, what's up, Inuko?",それすごいな,That's great.,そうや、富士五湖って昔は富士八湖だったって知ってるか、お前ら？,"Yes, did you know that Fuji Five Lakes used to be called Fuji Eight Lakes, guys?",こっちも焼けたよ,This one's done too.,お酢を混ぜた水に浸け置き、よく脱臭して使いましょう,Soak it in water mixed with vinegar to deodorize it well before use!,まずその１、きのこ帝国！,"First up, the Mushroom Empire!",ダメよ、私は既にこたつと結婚しているの、そんなこといけないわ,"No, I'm already married to a kotatsu, you can't do that",たぶんそろそろ,Probably soon.,リンちゃん、年末は何するか決めてる？,"Rin, have you decided what you're going to do at the end of the year?"
こんな時期でも意外といるんだ,I didn't expect to see so many people even at this time of year.,なんでもない,It's nothing.,荷物、あいつに全部持ってもらわねえか,Why don't you ask him to carry all your luggage?,まあ、野クルのポットみたく、すすで真っ黒になっちゃうけどな,"Well, it'll turn black with soot, just like the pots in the field.",なんや、都市伝説か？,"What, is that an urban legend?",お肉だ,Meat.,臭え,What a smell!,きのこ帝国？,Mushroom Empire?,斬新な昼ドラやめろダメよ、私は既にこたつと結婚しているの、そんなこといけないわ,"No, I'm already married to a kotatsu, you can't do that",あ、みんな集まっとるね,"Ah, everyone's here.",年末はバイトかな,Maybe I'll get a part-time job at the end of the year.
さすが有名キャンプ所,That's a famous campground!,何かある時の言い訳じゃん、それ,That's just an excuse for something.,笛吹公園まで６００メートルやって。そこで一休みせえへん？,It's 600 meters to Fuefuki Park. Why don't we take a break there?,そうだね,That's right.,いやいや、リアルな話、その中のとある湖にキャンプ場があるらしい,"No, no, no, it's real. There's a campground at one of the lakes.",ちょっと待って,Wait a minute.,テスト終わった！,The test is over!,森できのこ狩りしたり色んなきのこ料理が食べられるよ！,You can pick mushrooms in the forest and eat all kinds of mushroom dishes!,斬新な昼ドラやめろ,I'm already married to a kotatsu.,あ、来た来た、2人とも、おはよう,"Oh, here they are. Good morning, you two.",バイトか,A part-time job?
よし、この辺にするか,"Okay, let's go somewhere around here.",そっか、そっか、なでしこちゃんとキャンプしたんだ,"Oh, right, right. I camped with Nadeshiko.",だな。６００メートル,"Right, 600 meters.",焚火見ているとどうしてこんなに落ち着くのかな,Why do I feel so relaxed when I look at a fire?,その名も、四尾連湖,It's called Sioorenko.,なでしこ、これさ,"Nadeshiko, look at this.",後は休みを待つばかりや,Now all I have to do is wait for the vacations.,きのこレンジャーショーもやってるんだって！,They even have a mushroom ranger show!,お邪魔しました,I'm sorry to bother you.,おはよう。斎藤さん大荷物やな。ちょっとね,"Good morning. Saito-san, you've got a big bag. I'll be right back.",私も探してるんだけど、全然ないんだよね,"I'm looking for one too, but there aren't any."
よし,Okay.,お前の差し金だろ,You put me up to this.,おーい、こっちだよ,"Hey, this way!",せやな,I guess.,四尾連湖,Lake Yotsuoren.,耳キンキンする,My ears are burning.,だね,Yeah.,きのこレンジャー？,Mushroom rangers?,またねーお邪魔しました,See you later.,何やってんだ、なでしこ？,"What are you doing, Nadeshiko?",この辺は高校生の求人ないんだよ,There are no jobs for high school students around here.
バーナー、コッヘルもよし,Burners and kettles are ready.,まあまあ、良いではないか,"Well, that's nice.",もうすぐ茅野市か。寒い,It's almost Chino City. It's cold.,ああ、びっくりした！,"Oh, my God!",電気ウナギとかいるの？,Do they have electric eels?,はい、水,Here's some water.,余裕だったぜ,That was easy.,その2千畳敷カーーール,"No. 2, Senjojiki Kahlua.",またねー,See you...,ちくわが出て来ないんだよ,Chikuwa didn't show up.,そっか,I see.
今日はインスタントじゃない、アウトドアご飯,"Today we're going to make outdoor food, not instant food.",リンって、この時期しかキャンプしないよね？,"You only camp this time of year, right?",すげー見ている,You're looking amazing.,何なん、いきなり？,"What is it, all of a sudden?",違う,No.,酒飲むときは水分取らなきゃダメだって,You have to drink water when you drink alcohol.,あれ？2人とも降りなくていいの？,Shouldn't we both get off?,あ、そこは聞いたことある,"Oh, I've heard of that place.",千明ちゃん、ちょっと待ってまたねー,"Chiaki, wait a minute, see you later",ちくわ？,Chrysanthemum?,お、UFOだ,"Oh, a UFO!"
作るぞ！,Let's cook!,そうだけど,"Yeah, but...",かわええ,So cute!,これ、よう見たら細いアルミ線やないの？,Isn't this a thin aluminum wire?,こうだ,It's like this.,よし、できたよ,"Okay, it's ready.",駅過ぎちゃったよ？,We're past the station.,景色がすごいよ！,The scenery is amazing!,千明ちゃん、ちょっと待って,"Chiaki, wait a minute",本当だ、丸まってら,It's true. It's curled up.,あそこ、あそこ、ゆっくり動いてるやつ,"Over there, over there, the slow-moving one."
と思っていたが,That's what I was thinking.,冬キャンプって何がいいの？,What's so great about winter camping?,お、曲がっちゃうのか、バイバイ,"Oh, we're turning, bye-bye!",熱で切れてもうたんや,It must have been cut by the heat.,地元住民にもあまり知られていなところで、,It's a place not well known even to the locals.,お寿司食べたい,I want sushi.,今からカリブ行くで、なでしこちゃん,"We're going to the Caribbean now, Nadeshiko.",動物が色々いるよ！,There's all kinds of animals!,ほうとうが餃子に化けた,The Houtou turned into gyoza.,そいつ、狭い所好きなんだよ,He likes tight spaces.,UFOはゆっくり動かんだろう,UFOs don't move slow.
来る途中一軒もスーパーなくて,But I couldn't find a supermarket on the way here.,めちゃ寒いじゃん？,"It's so cold, right?",ついた,Here we are,な、だから鍋乗せなくてよかっただろう？,"That's why you didn't have to put it on the pan, right?",湖には謎の巨大魚が生息し、,The lake is inhabited by a mysterious giant fish.,え、さっきジャンバラヤ食べたいって,You just said you wanted jambalaya.,カリブ？,Caribe?,色々だよ！,All kinds!,今度のキャンプ、なでしことイヌ子と斎藤、4人か,"The next camp, Nadeshiko, Inuko, Saito, the four of us?",ちょっと待ってね,Wait a minute.,ゆっくりUFOかも知れませんよ、リンちゃん,"It could be a slow-moving UFO, Lin."
結局これですわ,So I ended up with this.,虫がいない,There are no bugs.,ねえねえ、すごい眺めだよここ,"Hey, this is a great view!",な？じゃないわ,See? It's not.,管理棟のテラスには、謎の激旨バーベキューがあるとかないとか,"There's a mysterious giant fish in the lake, and a mysterious barbecue on the terrace of the management building.",さては買い出しの前からすでに飲んでたな,"Well, you were already drinking before you went to the store.",身延駅ってこんな所だったんだね,I didn't know Minobu Station was like this.,でもゴリラはおらんぜよ,But there are no gorillas!,しまリンともちょっとしてみたかったんだけどな、キャンプ,I've always wanted to go camping with Shimarine.,ちくわ、ほらほら、おやつだぞ,"Chikuwa, chikuwa, chikuwa. Here's your snack.",何だそれ？,What is that?
今度から本気だす,I'm going to get serious.,汗かかない,No sweat.,まあ、結構有名な夜景スポットだしな,"Well, it's a famous night view spot.",よし、晩御飯作るよ,"Okay, I'll make dinner.",激旨,Super delicious!,ビールもうねえじゃん,I can't even have a beer.,レトロな街だ,A retro town.,あと、ロープウェイだから結構お金かかりまっせー,"Also, it's a ropeway, so it costs a lot.",素直じゃねーな,You're so naive.,お、出た！ウサミミや！,"Oh, there it is! A bunny eel!",あ、人工衛星だ、あれ,"Oh, it's a satellite."
斉藤だ,Saito.,他のキャンパーがいなくて静か,"Quiet, no other campers",あきちゃん、あおいちゃん、写真撮ろう、写真。絶景写真だよ,"Aki-chan, Aoi-chan, let's take a picture, a picture. It's a great view.",おー,Oh!,前々から調査せねばと思っていたのだが、なんせ、謎が多いものでな,"I've been wanting to investigate this place for a long time, but there are so many mysteries.",この姉は,My sister...,カリブって何の店なの？,What kind of restaurant is this?,バスと合わせて往復4000円でっせぇー,"It's 4,000 yen round trip including the bus.",なでしこにも教えてやる、ハクション,"I'll teach Nadeshiko a lesson, Hakuo.",なでしこちゃん、これ持って,"Nadeshiko, take this.",人工衛星ってここから見えるの？,Can you see a satellite from here?
リン、今週はどこ行ってんの？,"Where are you going this week, Lin?",焚き火と温泉が気持ちいい,Bonfires and hot springs are great!,こっちも絶景だよ、あっちも,"This one has a great view, too.",あらかじめ切って、素揚げしておいた具材を、ルーを溶いたお湯に入れれば、一味違う煮込みカレーだよ,"Cut up the ingredients, deep-fry them, put them in hot water with roux, and you've got a curry with a difference.",各務原隊員、現地調査を頼めるかね？,"Kakamigahara, can you do a field survey?",私、心配だよ,I'm worried about you.,それは着いてからのお楽しみやで,That'll be interesting when we get there.,おい、お前なでしこじゃないだろう,"Hey, you're not Nadeshiko, are you?",は、はあ,"Ha, ha.",全力ダッシュ,Dash as fast as you can.,たぶん,Maybe.
富士山の目の前の麓キャンプ場ってとこ,We're going to a campground right in front of Mt.,景色が遠くまできれいに見える,The view is beautiful and far away.,本当に元気な子じゃのう,You're a really energetic kid.,やっぱりカレーや,"Curry, after all!",わかりました、隊長！,"Yes, sir!",お姉ちゃんが先生やっていけるかさあ,I wonder if she'll be able to teach.,これ知ってる。野菜がたくさん入った味噌煮うどん,I know this one. Udon noodles cooked in miso with lots of vegetables.,なでしこは私が預かった,I've got the girl.,じゃ、考えておいてくださいね、鳥羽先生は、はあ,"Then please think about it, Toba-sensei, huh?",食うか食われるか,Eat or be eaten.,今年ももうおしまいか,Is this year already over?
写真撮ったら送ってねー,"If you take any pictures, please send them to me.",汁物がうまいってところかな,The soup is good.,わしらも昔はああじゃった,"We used to be like that, too.",うまそう！いただきます！,Looks good! Let's eat!,なんだその小芝居,What's with the theatrics?,失礼な、教育実習でもけっこう評判よかったのよ,"Don't be rude, she had a good reputation in her teaching practice.",身延饅頭だって。身延の名物かな,It's called Minobu Manju. I wonder if it's a Minobu specialty.,返してほしくば私の言う通り旅を続けるのだ,"If you want it back, continue your journey as I say.",は、はあ,"Ha, ha",弱肉強食だよ、なでしこちゃん,"It's the law of the jungle, Nadeshiko-chan.",リンちゃん,"Hey, Lin."
ついでにお昼ご飯も買ってきてね,And pick me up some lunch while you're there.,この時期の鍋はうまいよねー,Nabe is good this time of year.,あ、中のカフェでスイーツも食べられるんだ,"Oh, you can eat sweets at the cafe inside!",うまい,It's delicious!,紅葉ではそこそこ有名だよ、四尾連湖,"It's famous for its autumn foliage, Lake Sio-ren.",ビールも落ち込んでお昼に一杯やりそうだし,She's so depressed she'll have a beer at lunch.,犬だ！,A dog!,大垣千明,Chiaki Ogaki,部活の顧問,Advisor for club activities,楽しそうや,Sounds fun.,来年もたくさんキャンプしようね,Let's do lots of camping next year.
くたばれ,Go fuck yourself.,私もなでしこ飯食べてみたかったなぁ,I wish I could have tried Nadeshiko rice.,うまい,Yum!,ほんまにおいしいわ,It's really delicious.,そうなの,That's right.,やんないわよ,"No, I won't.",お前も元気な犬やな,"You're a healthy dog, aren't you?",苦手なんだような、こいつ,"I'm not very good at this guy, am I?",さようなら,Good-bye.,じゃ、なでしこが弱肉強食ってるうちにテントを立てちまうぞ！,Then let's set up the tent while Nadeshiko eats the weak and the strong!,そうだな,I guess so.
死ぬのはお前だ相棒,"You're gonna die, buddy.",あいつほとんど自分で食っちゃったけどな,"He ate most of it by himself, though.",疲れとると甘いもんがうまいんやな,"I guess when you're tired, sweets are good!",きれいな景色眺めながら、おいしい外ご飯,A delicious meal outside with a beautiful view!,スーパー見えたわよ,I see the supermarket.,ノンアルコールビールならもしや,If you'd like a non-alcoholic beer...,着いたで,We're here.,と、いうわけで、こっからはあきちゃんと2人体制でお送りします！,"So, from now on, it'll be you and me, Aki-chan!",はい、さようなら,"Yes, good-bye.",おー！,Oh!,寒い,It's cold.
貴様のいるキャンプ場に熊とトラとチワワ100匹を放った,"I just unleashed a bear, a tiger, and 100 Chihuahuas on your campground.",今度私もちくわ連れて行ってみようかなぁ,I think I'll take Chikuwa with me next time.,暖房効いてる店内で食うアイス、うまい,Ice cream in a heated room is so good!,キャンプの醍醐味や,The best part of camping!,お！,Oh!,倫理的にNGだと思う,I don't think it's ethical.,ここや、ここ,"Here, here!",もう好きにしろよ,Do as you please already.,ならない方向で行きたいけどそうはいかないわよね,"I'd like to go in the direction of not becoming one, but that's not going to happen.",しまリンたちの荷物は？,Where's Shimmering's stuff?,なでしこ、朝だぞ,"Nadeshiko, it's morning."
うわ！何をするくぁｗせｄｒｆｔｇｙふじこｌｐ,Whoa! What the fuck are you doing?,でも寒いしなぁ,But it's too cold.,季節によっていろんな果物スイーツが食べられるんだね,I guess you can eat all kinds of fruit sweets depending on the season.,うまいけど、何か不思議な味だな、これ,"It's good, but there's something strange about the taste.",なでしこ、ついでに缶コーヒー買ってきて、あまいやつ,"Nadeshiko, why don't you go and buy a can of coffee, something sweet?",あの・・,Um...,Caribouってアウトドアのお店だったんだ,Caribou is an outdoor store!,リンちゃん！駒ヶ根にアウトドア雑貨も売ってる,"Rin-chan! I found a wood stove shop in Komagane that sells outdoor goods, too.",鳥羽先生、誰かに似てるんだよな,"Toba Sensei, you look like someone else, don't you?",あ、そうだ、私向こうにテント立てちゃった、取ってくるよ,"Oh, yeah, I set up the tent over there. I'll go get it.",起きているよ,I'm up.
死んじまったじゃねーかバカヤロウ,"We're dead, you idiot!",やっぱりもう少し暖かくなったらにすんね,I'll do it when it gets a little warmer.,なでしこちゃん、私のちょっと食べる？,"Nadeshiko-chan, would you like some of mine?",フッフッフ、よくぞ気が付かれましたな,I'm surprised you noticed it.,うん、わかった,"Yeah, okay.",こんばんは！,Good evening!,アウトドア用品って来た事なかったやろう,I bet you've never been to an outdoor store before.,薪ストーブ屋さんを見つけたよ,I found a wood stove shop in Komagane that also sells outdoor goods.,お肉,Meat.,立て直すの大変じゃない？,Isn't it hard to get it back up?,早起きして、朝ご飯作るんだろう,I bet you get up early and make breakfast.
こっちも空腹で死んじまったぞこのやろう,"I'm dying of hunger too, you son of a bitch!",じゃ、後半年は無理だな,Then it won't be for the next half year.,本当,Really.,じゃーん、隠し味は、豚骨ラーメンのスープだよ,The secret ingredient is pork bone ramen soup!,りんちゃん、お肉、何買ってく？,"Rin, what kind of meat should we buy?",あ、さっきの、いらっしゃい！,"Oh, you're here!",だからテスト明けにみんなで行こうって、あきと話しとったんや,That's why Aki and I were talking about going there together after the test.,へー、ちょっと寄ってこうかな,"Oh, I'll stop by.",当たってもうた,I've been hit.,それは、まあ、,"Oh, well...",明けましておめでとうございます,Happy New Year!
薪一束500円か,500 yen for a bundle of firewood?,ねえ、つぎはどこ行くの？,"Hey, where are you going next?",じゃ、私のもちょっとあげる,Then I'll give you some of mine.,ラーメン屋さんの豚骨カレーってやつか,It's like a ramen shop's pork curry.,そうだな、豚バラ、カルビ、豚トロ、ホルモン、ハラミ、タン、ロース、,"Well, pork belly, ribs, pork tenderloin, hormones, harami, tongue, loin...",さっきはありがとうございました,Thank you for earlier.,だが気を付けろよ、なでしこ,"But be careful, Nadeshiko.",しまりん！伊那にきのこ帝国ってゆう,Shimarine! There's a place in Ina called Mushroom Empire.,何？これ当てたのか？まじで？当たってもうた,What? Did you win this? Seriously? I won it!,じゃ、うちらもそっち行くか,"Well, we should go over there.",はえーよ,Huh?
ここ直火NGだから,No open fires here.,ジー,Gee.,私のもやるぞ,I'll have some of mine.,えん、余ってる粉末スープを使ってよくこれ作るんだ,"En, I often make this with leftover powdered soup.",私豚トロ好き,I like pork belly.,これ、よかったら、二人でどうぞ,"These are for you and me, if you like.",店内には高額商品が待ち構えている,There are expensive items waiting for you in the store.,それさっき聞いたわ,I just heard about that.,何？これ当てたのか？まじで？,What? Did you win this? Seriously?,せやね、あ、でも、この荷物の量は車じゃないと・・・,"Yeah, but we'll need a car with all this stuff...",味噌このくらい？,Miso this much?
台も借りないとダメだしなぁ,I'll have to rent a table.,なでしこちゃんには言わんから,I'm not going to tell Nadeshiko.,うまい！,Yum!,そのままだとしょっぱいから、小麦粉と水で薄めるの,"It's too salty as it is, so I dilute it with flour and water.",しかも、今回の焼き肉は備長炭で直火焼き,"And this time, we'll use binchotan for the grill.",ありがとう、おいしそうだね,Thank you. It looks delicious.,やばいと思ったら、速やかに外に空気を吸うんだ,"If you feel like you're in trouble, go outside and get some air.",リンちゃん！,Rin!,いいお肉だ！,It's good meat!,テント使うの寝るときだけだし、後で荷物だけ取ってくるよ,We'll only use the tent for sleeping. I'll just get our stuff later.,うん、そんな感じ,"Yeah, something like that."
芝生サイトのキャンプ場では,At campgrounds with grass sites,そろそろ起きなよ,It's about time you woke up.,キャンプ場まで１．７キロか。,It's 1.7 kilometers to the campground.,変身カレーってやつやな,It's like transforming curry.,外ご飯効果３倍おいしいとすれば,If the effect of eating outside is three times as delicious...,それじゃ,See you later.,わかった,I understand.,わんこが祀られてるお寺を見つけたよ！,I found a temple dedicated to doggies!,もしかして、この前言ってたいい物って,Maybe that's the good stuff you were talking about.,設営もうだんだん慣れてきたな,I'm getting used to setting up.,納豆入れたら弱火にして,Turn down the heat after you add the natto.
直に焚き火すると芝が焼けてしまうので,"In campgrounds with grass sites, you can't build a fire directly on the grass.",起きてるよ,I'm up.,温泉のほうが近いけど。どうする？,But the hot springs are closer. What do you say?,あたしん家は、肉じゃがを次の日カレーにしているぞ,"At my house, we make meat and potatoes into curry the next day.",絶対やばいぞこれは！,This is definitely not good!,あ、ちょっと待って,"Oh, wait a minute.",ここから先は危険だ、ちゃんとセーブしたか？,It's dangerous from here on out. Did you save?,わんこ寺,Doggie temple,せやでー、これ使うてキャンプご飯作ろうやないか,"Yeah, let's use it to make camping food.",え、大垣、鉄スキレット持ってんだ,"Oh, Ogaki, you have an iron skillet?",わかった,Okay.
基本的に焚き火台を使用します,We basically use a fire pit.,りんちゃん,Rin.,温泉,Hot springs.,うちはおでんカレーや,We have oden curry.,バラとカルビしかない,There's only ribs and ribs.,これ持っていてよ,Hold this for me.,セーブ？,Save it?,じゃ、とりあえずその2つに行ってみるよ,I'll go to those two temples for now.,やったー,Yes!,まあな,Sort of.,あー、寒っ,It's so cold.
薪1日3束は使うから1500円,"We use 3 bundles of firewood a day, so it costs 1500 yen.",起きなよ,Wake up.,欲望に正直でよろしい,I'm glad you're honest about your desires.,ええ、おでん？,"Oh, oden?",そっか、バーベキューって普通は夏だから、今は,I see. Barbecues are usually held in the summer.,うわあ、いい匂いだ,"Oh, it smells so good.",いいから、さっさと入らんか,I don't care. Let's get the hell out of here.,写真送ってね,Send me a picture.,お肉、お肉、お肉・・・,"Meat, meat, meat...",斎藤さん、それがこの間言ってたシュラフ？,"Saito-san, is that the shrub you were talking about the other day?",おはよう,Good morning.
"焚き火台もレンタルしたら2,500円","If you rent a fire pit, it will cost you 2,500 yen.",なでしこ,Nadeshiko,あかん、お尻に根が張ってもうた,"Oh no, I've got roots in my butt.",和風ダシが効いてうまいんやで、牛すじ入っとるし,It's good with Japanese broth and beef stew.,マイノリティ殺し,Killing minorities,こんなにいただいていいんですか,I can't believe I'm getting all this.,心奪われまくりやな,I'm so fascinated.,うい,I see.,一人4000円ずつやお肉、お肉、お肉・・・,"4,000 yen each, meat, meat, meat...",うん、そうそう,"Yeah, that's right.",焼き鮭か、うまそう,"Grilled salmon, sounds good."
寒くなったら寝袋被るか,"If it gets too cold, I'll put on a sleeping bag.",部屋キャン,Room scan,私も。,Me too.,へえ、今度やってみるよ,I'll try it next time.,泣いてるの？りんちゃん,Are you crying? Rin.,いいの、いいの、ちょっと多く作り過ぎたしさ,"No, no, no. I made too much.",リンちゃんが使ってるタイプのコンロだ,"This is the kind of stove you use, Lin.",なるほど,I see.,一人4000円ずつや,"4,000 yen each.",お、暖かっ、うちらのとは段違いじゃんか,"Oh, it's warm, much different from ours!",志摩さんは何作っとる？,"What are you cooking, Shima?"
ちょっと散歩してこよう,I think I'll go for a walk.,二人とも、見て、見て,"Look, both of you. Look.",わからんでもないけどさ,I don't know...,テント狭い,The tent is too small.,豚串とかならあるよ、焼き鳥も,"I've got pork skewers and stuff. Yakitori, too.",ありがとうございます,Thank you very much.,たたむとこんなに小さくなるのか,It's so small when folded.,しまリンは風邪を引いたなでしこお元気づけるため,"So, Shimarine went to the extreme cold camp alone to cheer up Nadeshiko, who had caught a cold.",あきちゃん、いくら出せる？,"How much can you afford, Aki-chan?",これが45000円の暖シュラフか,"So this is a 45,000 yen warm sleeping bag.",野菜と納豆味噌汁,"Vegetables, natto and miso soup."
始めて来たし,It's my first time here.,富士山撮ってきたよ,I took a picture of Mt. Fuji.,笛吹公園のカフェか。,A cafe in Fuefuki Park.,２人が限界だろう,Two people is probably the limit.,焼き鳥？,Yakitori?,ちょっと、あんたたち、これも持ってけ,"Hey, you guys, take these, too.",こっちは足が付いてる,This one's got legs.,一人極寒キャンプへ旅立った訳か,To cheer up Nadeshiko who had caught a cold.,嘘やで,You're lying.,いいな,Nice!,おー、和の献立やねえ,"Oh, it's a Japanese menu."
二千円も払ったし,"I paid 2,000 yen.",あれ、しまリンじゃん！二人で行ってきたんやね,"Hey, that's Shimmering! We went there together, didn't we?",アイスうまそうだけど、すげー寒そう。,"The ice cream looks good, but it looks so cold.",でもー人で寝るのはなんか寂しいよ,But it's kind of lonely sleeping alone.,うん、焼き鳥！,"Yeah, yakitori!",ああー、酔っ払いは気にしないでいいから,"Oh, don't worry about the drunks.",ええ、ランタンにヒーターなんてのもあるんだ,"Yeah, there's even a lantern and a heater!",泣かせるじゃねえか,That makes me cry.,こんにちは,Hello.,そうだ、リンの道具も見せてよ,"Oh yeah, let's see Rin's gear too!",日本の朝ご飯じゃよ,It's a Japanese breakfast.
トイレはここか,Toilet here?,このキャンプ場から見える富士山、すごかった,Fuji from this campground was amazing!,よし、こっちも一休みしますか,"Okay, let's take a break here too.",せやなぁ,I guess so.,炭焼きだったら、串ものだっておいしいよ！,"If it's charcoal grilled, the skewers are good too!",ありがとうございました,Thank you very much.,これかわいい,This is cute!,あきちゃんもお見舞い来てくれてありがとう,"Thank you, Aki-chan, for coming to see me.",いらっしゃい,Hello.,見たい、見たい！,I want to see it! I want to see it!,みんなおらよう,Hey everyone!
タイヤついてる,It's got tires.,道の駅で富士山見ながら食べたアイスもおいしかったの,The ice cream we ate at the roadside station while looking at Mt.,いらっしゃいませ,Welcome to the cafe.,じゃ、ここは公平に,Let's be fair here.,そうか、炭焼きと言ったら、ハンバーグとかも,"Well, charcoal-grilled hamburgers are good, too.",こちらこそありがとうね,"Thank you, too.",ガスランプか、いいな,"A gas lamp, nice.",いいってことよ,That's okay.,さて、斎藤が我が探検隊に体験入隊するということだが,"Now, I understand Saito's going to join our expedition team for a trial run.",いいけど、普通のだぞ,I want to see it!,おはよう,Good morning.
トイレか？,Toilet?,富士山Ｔシャツとマスコットも買っちゃったよ,Fuji T-shirt and mascot!,お好きな席にどうぞ,Please have a seat of your choice.,じゃんけんぽい,"Rock, paper, scissors.",ありだよ、りんちゃん,"It's possible, Rin-chan.",うまい,It's delicious!,火付けてみますか？,Do you want me to light it?,いぬこにも声かけたんだけど、バイトでなー,"I tried to talk to Inuko, but she has a part-time job.",うちは甘くないぞさて、斎藤が我が探検隊に体験入隊するということだが,Saito's going to join our expedition team for a trial run.,やったー,Yay!,朝ご飯できてるよ,Breakfast is ready.
