Kanji,Core,Words,Hiragana,Meaning
火,"fire, blaze, flame",火星,かせい,mars
火,"fire, blaze, flame",火葬,かそう,cremation
火,"fire, blaze, flame",火事,かじ,"fire, conflagration"
毎,every,毎日,まいにち,everyday
毎,every,毎朝,まいあさ,every morning
毎,every,毎週,まいしゅう,every week
毎,every,毎晩,まいばん,every night
毎,every,毎月,まいげつ,every month
毎,every,毎年,まいねん,every year
毎,every,毎度,まいど,each time
毎,every,毎回,まいかい,every time
毎,every,毎時,まいじ,every hour
毎,every,毎秒,まいびょう,every second
毎,every,毎分,まいぶん,every minute
毎,every,毎食,まいしょく,every meal
毎,every,毎々,まいまい,each time
毎,every,毎期,まいき,every term
毎,every,毎号,まいごう,"every issue, every number"
毎,every,毎冬,まいふゆ,every winter
休,rest,休む,やすむ,"take a day off, absent"
休,rest,休み,やすみ,"rest, holiday, vacation"
休,rest,休める,やすめる,"to rest, to give relief"
休,rest,休まる,やすまる,"be rested, feel at ease"
休,rest,一休み,ひとやすみ,"short rest, break"
休,rest,中休み,なかやすみ,take a break
休,rest,休日,きゅうじつ,"holiday, day off"
休,rest,休暇,きゅうか,"holiday, day off"
休,rest,休憩する,きゅうけいする,"rest, break, recess"
休,rest,休養する,きゅうようする,"rest, recreation"
休,rest,休講する,きゅうこうする,cancellation (lecture)
休,rest,休止する,きゅうしする,"pause, cessation"
休,rest,休業,きゅうぎょう,shutdown (business)
休,rest,休息,きゅうそく,"rest, relaxation"
休,rest,休校,きゅうこう,school closure (temporary)
休,rest,休会,きゅうかい,"adjournment, recess"
午,noon ,午後,ごご,"afternoon, p.m. "
午,noon ,午前,ごぜん,"morning, a.m."
午,noon ,午前中,ごぜんちゅう,n the morning
午,noon ,午刻,ごこく,noon 
午,noon ,午睡,ごすい,"nap, siesta "
午,noon ,真正午,しんしょうご,apparent noon
午,noon ,午後中,ごごじゅう,throughout the afternoon 
午,noon ,午,うま,the horse (zodiac sign)
午,noon ,端午,たんご,Boy's Day celebration
午,noon ,亭午,ていご ,noon 
午,noon ,正午,しょうご,"noon, midday "
午,noon ,子午線,しごせん,meridian
午,noon ,午前様,ごぜんさま,coming home after midnight
午,noon ,午年,うまどし,year of the Horse
午,noon ,午後一,ごごいち,first thing in the afternoon
午,noon ,午前零時,ごぜんれいじ,midnight
